House Vote #288 2016-06-09T18:20:00 - H.R. 5278: PROMESA
person,state,district,vote,name,party
400630,IL,3,Aye,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400636,LA,3,No,"Rep. Charles Boustany Jr. [R, 2013-2016]",Republican
400639,MO,5,Aye,"Rep. Emanuel Cleaver II [D, 2005-2022]",Democrat
400640,NE,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,Aye,"Rep. Brian Higgins [D, 2013-2022]",Democrat
400643,NC,5,Aye,"Rep. Virginia Foxx [R, 2005-2022]",Republican
400644,NC,10,Aye,"Rep. Patrick McHenry [R, 2005-2022]",Republican
400646,PA,8,Aye,"Rep. Michael Fitzpatrick [R, 2011-2016]",Republican
400648,PA,15,Aye,"Rep. Charles Dent [R, 2005-2018]",Republican
400651,TX,1,No,"Rep. Louie Gohmert Jr. [R, 2005-2022]",Republican
400652,TX,2,No,"Rep. Ted Poe [R, 2005-2018]",Republican
400653,TX,9,Aye,"Rep. Al Green [D, 2005-2022]",Democrat
400654,TX,10,Aye,"Rep. Michael McCaul [R, 2005-2022]",Republican
400655,TX,11,Aye,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,Aye,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,Aye,"Rep. Henry Cuellar [D, 2005-2022]",Democrat
400659,WA,5,No,"Rep. Cathy Rodgers [R, 2005-2022]",Republican
400660,WA,8,Aye,"Rep. David Reichert [R, 2005-2018]",Republican
400661,WI,4,Aye,"Rep. Gwen Moore [D, 2005-2022]",Democrat
400663,CA,6,Aye,"Rep. Doris Matsui [D, 2013-2022]",Democrat
408211,MN,8,No,"Rep. Richard Nolan [D, 2013-2018]",Democrat
409888,PA,9,No,"Rep. Bill Shuster [R, 2001-2018]",Republican
412186,NJ,8,Not Voting,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,Aye,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,CA,23,Aye,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,No,"Rep. Doug Lamborn [R, 2007-2022]",Republican
412192,CO,7,Aye,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,Aye,"Rep. Joe Courtney [D, 2007-2022]",Democrat
412195,FL,14,Aye,"Rep. Kathy Castor [D, 2013-2022]",Democrat
412196,FL,16,Aye,"Rep. Vern Buchanan [R, 2013-2022]",Republican
412199,GA,4,Aye,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2022]",Democrat
412202,IL,6,Aye,"Rep. Peter Roskam [R, 2007-2018]",Republican
412209,IA,2,Aye,"Rep. David Loebsack [D, 2007-2020]",Democrat
412211,KY,3,Aye,"Rep. John Yarmuth [D, 2007-2022]",Democrat
412212,MD,3,Aye,"Rep. John Sarbanes [D, 2007-2022]",Democrat
412213,MI,7,No,"Rep. Tim Walberg [R, 2011-2022]",Republican
412214,MN,1,No,"Rep. Timothy Walz [D, 2007-2018]",Democrat
412215,MN,5,Aye,"Rep. Keith Ellison [D, 2007-2018]",Democrat
412217,NE,3,Aye,"Rep. Adrian Smith [R, 2007-2022]",Republican
412221,NY,9,Aye,"Rep. Yvette Clarke [D, 2013-2022]",Democrat
412226,OH,4,No,"Rep. Jim Jordan [R, 2007-2022]",Republican
412236,TN,9,Aye,"Rep. Steve Cohen [D, 2007-2022]",Democrat
412239,VT,0,Aye,"Rep. Peter Welch [D, 2007-2022]",Democrat
412250,FL,12,No,"Rep. Gus Bilirakis [R, 2013-2022]",Republican
412254,MA,3,Aye,"Rep. Niki Tsongas [D, 2013-2018]",Democrat
412255,VA,1,No,"Rep. Robert Wittman [R, 2007-2022]",Republican
412256,OH,5,Aye,"Rep. Robert Latta [R, 2007-2022]",Republican
412257,IL,11,Aye,"Rep. Bill Foster [D, 2013-2022]",Democrat
412258,IN,7,Aye,"Rep. André Carson [D, 2008-2022]",Democrat
412259,CA,14,No,"Rep. Jackie Speier [D, 2013-2022]",Democrat
412261,LA,1,Aye,"Rep. Steve Scalise [R, 2008-2022]",Republican
412263,MD,4,Aye,"Rep. Donna Edwards [D, 2008-2016]",Democrat
412270,UT,3,Aye,"Rep. Jason Chaffetz [R, 2009-2017]",Republican
412271,CO,6,Aye,"Rep. Mike Coffman [R, 2009-2018]",Republican
412272,VA,11,Aye,"Rep. Gerald Connolly [D, 2009-2022]",Democrat
412275,LA,4,No,"Rep. John Fleming [R, 2009-2016]",Republican
412276,FL,9,Aye,"Rep. Alan Grayson [D, 2013-2016]",Democrat
412278,KY,2,Aye,"Rep. Brett Guthrie [R, 2009-2022]",Republican
412280,MS,3,Aye,"Rep. Gregg Harper [R, 2009-2018]",Republican
412282,CT,4,Aye,"Rep. James Himes [D, 2009-2022]",Democrat
412283,CA,50,Aye,"Rep. Duncan Hunter [R, 2013-2020]",Republican
412284,KS,2,Aye,"Rep. Lynn Jenkins [R, 2009-2018]",Republican
412286,AZ,1,Aye,"Rep. Ann Kirkpatrick [D, 2013-2016]",Democrat
412290,NJ,7,No,"Rep. Leonard Lance [R, 2009-2018]",Republican
412292,MO,3,Not Voting,"Rep. Blaine Luetkemeyer [R, 2013-2022]",Republican
412293,NM,3,Aye,"Rep. Ben Luján [D, 2009-2020]",Democrat
412294,WY,0,Aye,"Rep. Cynthia Lummis [R, 2009-2016]",Republican
412295,CA,4,No,"Rep. Tom McClintock [R, 2009-2022]",Republican
412302,TX,22,No,"Rep. Pete Olson [R, 2009-2020]",Republican
412303,MN,3,Aye,"Rep. Erik Paulsen [R, 2009-2018]",Republican
412307,ME,1,Aye,"Rep. Chellie Pingree [D, 2009-2022]",Democrat
412308,CO,2,Aye,"Rep. Jared Polis [D, 2009-2018]",Democrat
412309,FL,8,Aye,"Rep. Bill Posey [R, 2013-2022]",Republican
412310,TN,1,Aye,"Rep. David “Phil” Roe [R, 2009-2020]",Republican
412311,FL,17,No,"Rep. Thomas Rooney [R, 2013-2018]",Republican
412315,OR,5,Aye,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
412317,PA,5,Aye,"Rep. Glenn Thompson [R, 2009-2018]",Republican
412318,NV,1,Aye,"Rep. Dina Titus [D, 2013-2022]",Democrat
412319,NY,20,Aye,"Rep. Paul Tonko [D, 2013-2022]",Democrat
412327,OH,11,No,"Rep. Marcia Fudge [D, 2008-2021]",Democrat
412331,IL,5,Aye,"Rep. Mike Quigley [D, 2009-2022]",Democrat
412379,CA,27,Aye,"Rep. Judy Chu [D, 2013-2022]",Democrat
412382,CA,3,Aye,"Rep. John Garamendi [D, 2013-2022]",Democrat
412385,FL,21,Aye,"Rep. Theodore “Ted” Deutch [D, 2013-2016]",Democrat
412388,GA,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican
412392,IN,3,Aye,"Rep. Marlin Stutzman [R, 2010-2016]",Republican
412393,NY,23,No,"Rep. Tom Reed [R, 2013-2022]",Republican
412394,AL,2,Aye,"Rep. Martha Roby [R, 2011-2020]",Republican
412395,AL,5,No,"Rep. Mo Brooks [R, 2011-2022]",Republican
412396,AL,7,Aye,"Rep. Terri Sewell [D, 2011-2022]",Democrat
412397,AZ,4,No,"Rep. Paul Gosar [R, 2013-2022]",Republican
412399,AZ,6,Aye,"Rep. David Schweikert [R, 2013-2022]",Republican
412400,AR,1,No,"Rep. Eric “Rick” Crawford [R, 2011-2022]",Republican
412402,AR,3,Aye,"Rep. Steve Womack [R, 2011-2022]",Republican
412403,CA,10,Aye,"Rep. Jeff Denham [R, 2013-2018]",Republican
412404,CA,37,Aye,"Rep. Karen Bass [D, 2013-2022]",Democrat
412405,CO,3,Aye,"Rep. Scott Tipton [R, 2011-2020]",Republican
