person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,Year_2012,Year_2014,Year_2016,Year_2018,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Disney_Donations_Diff,Bloomberg_Donations_Diff,Citadel_Donations_Diff
21,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,-250.0,0.0,0.0
22,0.0,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
22,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
22,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
22,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
23,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
23,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
23,0.0,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
23,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
24,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
24,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
24,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
24,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
28,0.0,0.75,1.0,1.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,TRAINING,,,
28,0.0,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
28,0.0,0.6,0.0,0.2,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
28,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,0.42857142857142855,0.4444444444444444,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
