pageid,party_x,wikidataid,wikititle,name_x,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party_x,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,person,name_y,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,name,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
16166136,R,Q1176561,David_Schweikert,David Schweikert,male,white,,1962-03-03,,"34.05,-118.25",,4,True,True,True,True,David,Schweikert,DavidSchweikertR,,,,,,,,,,,412399.0,"Rep. David Schweikert [R, 2013-2022]",0.8333333333333334,0.4,0.8571428571428571,0.25,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.6,1.0,1.0,0.6666666666666666,0.75,1.0,0.3333333333333333,R, David Schweikert ,Schweikert,David,"Rep. David Schweikert [R, 2013-2022]",Republican,0.5,0.6666666666666666,0.4,0.0
28573959,R,Q2151554,Rick_Crawford_(politician),Rick Crawford,male,white,,1966-01-22,,"25.46872,-80.47756",,4,True,True,True,True,Rick,Crawford,RickCrawfordR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28033707,R,Q1029527,Steve_Womack,Steve Womack,male,white,,1957-02-18,,"35.2783,-93.1369",,4,True,True,True,True,Steve,Womack,SteveWomackR,,,,,,,,,,,412402.0,"Rep. Steve Womack [R, 2011-2022]",0.8333333333333334,1.0,0.8571428571428571,0.5,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,R, Steve Womack ,Womack,Steve,"Rep. Steve Womack [R, 2011-2022]",Republican,0.75,0.6666666666666666,0.8,0.0
9434506,R,Q1703840,Doug_LaMalfa,Doug LaMalfa,male,white,,1960-07-02,,"39.51389,-121.3925",,4,True,True,True,True,Doug,LaMalfa,DougLaMalfaR,,,,,,,,,,,412510.0,"Rep. Doug LaMalfa [R, 2013-2022]",0.8333333333333334,0.6,0.8571428571428571,0.5,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.6,1.0,1.0,0.6666666666666666,0.75,1.0,0.3333333333333333,R, Doug LaMalfa ,LaMalfa,Doug,"Rep. Doug LaMalfa [R, 2013-2022]",Republican,0.5,0.6666666666666666,0.6,0.0
7432015,D,Q3276717,Jared_Huffman,Jared Huffman,male,white,,1964-02-18,,"39.08333,-94.41667",,4,True,True,True,True,Jared,Huffman,JaredHuffmanD,,,,,,,,,,,412511.0,"Rep. Jared Huffman [D, 2013-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Jared Huffman ,Huffman,Jared,"Rep. Jared Huffman [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0
1602620,D,Q1340268,John_Garamendi,John Garamendi,male,hispanic,,1945-01-24,,"29.9519,-81.9799",,4,True,True,True,True,John,Garamendi,JohnGaramendiD,,,,,,,,,,,412382.0,"Rep. John Garamendi [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.6,0.0,1.0,0.6666666666666666,0.5,0.0,0.6666666666666666,D, John Garamendi ,Garamendi,John,"Rep. John Garamendi [D, 2013-2022]",Democrat,0.75,0.3333333333333333,0.8,1.0
295706,R,Q535887,Tom_McClintock,Tom McClintock,male,white,,1956-07-10,,"40.94,-73.82611",,4,True,True,True,True,Tom,McClintock,TomMcClintockR,,,,,,,,,,,412295.0,"Rep. Tom McClintock [R, 2009-2022]",0.6666666666666666,0.2,0.8571428571428571,0.0,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.5714285714285714,0.4,1.0,1.0,0.3333333333333333,0.75,1.0,0.3333333333333333,R, Tom McClintock ,McClintock,Tom,"Rep. Tom McClintock [R, 2009-2022]",Republican,0.25,0.3333333333333333,0.2,0.0
408609,D,Q1323196,Mike_Thompson_(California_politician),Mike Thompson,male,white,catholicism,1951-01-24,,"38.50278,-122.46972",,4,True,True,True,True,Mike,Thompson,MikeThompsonD,,,,,,,,,,,400403.0,"Rep. Mike Thompson [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.0,0.3333333333333333,0.4444444444444444,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Mike Thompson ,Thompson,Mike,"Rep. Mike Thompson [D, 2013-2022]",Democrat,0.5,0.3333333333333333,0.6,1.0
1548355,D,Q399561,Doris_Matsui,Doris Matsui,female,asian,protestantism methodist,1944-09-25,,,,4,True,True,True,True,Doris,Matsui,DorisMatsuiD,,,,,,,,,,,400663.0,"Rep. Doris Matsui [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Doris Matsui ,Matsui,Doris,"Rep. Doris Matsui [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0
28670879,D,Q3389105,Ami_Bera,Ami Bera,male,asian,protestantism unitarian,1965-03-02,,"34.05,-118.25",,4,True,True,True,True,Ami,Bera,AmiBeraD,D,0.0,0.0,0.0,1000.0,D,0.0,0.0,0.0,1000.0,412512.0,"Rep. Ami Bera [D, 2013-2022]",0.5,0.8,0.42857142857142855,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.7142857142857143,0.6,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,D, Ami Bera ,Bera,Ami,"Rep. Ami Bera [D, 2013-2022]",Democrat,0.5,0.6666666666666666,0.8,1.0
