,person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat,Donation_Change
74,39,2016-01-01,D,1000.0,0.2,0.0,0.4555,TRAINING,1,-1000.0
75,39,2018-01-01,D,0.0,1.0,,0.4555,TRAINING,1,0.0
76,40,2012-01-01,D,0.0,0.25,0.0,0.3385,TRAINING,1,0.0
77,40,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3385,TRAINING,1,0.0
78,40,2016-01-01,D,0.0,0.8,0.0,0.3385,TRAINING,1,0.0
79,40,2018-01-01,D,0.0,1.0,,0.3385,TRAINING,1,0.0
83,41,2012-01-01,D,0.0,0.25,0.0,0.6396,TESTING,1,0.0
82,41,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6396,TESTING,1,0.0
80,41,2016-01-01,D,0.0,0.8,0.0,0.6396,TESTING,1,0.0
81,41,2018-01-01,D,0.0,1.0,,0.6396,TESTING,1,0.0
84,42,2012-01-01,D,2000.0,0.25,2000.0,0.8666,TESTING,1,0.0
85,42,2014-01-01,D,2000.0,0.3333333333333333,3300.0,0.8666,TESTING,1,1300.0
86,42,2016-01-01,D,3300.0,0.8,0.0,0.8666,TESTING,1,-3300.0
87,42,2018-01-01,D,0.0,1.0,,0.8666,TESTING,1,0.0
89,43,2012-01-01,D,0.0,0.0,0.0,0.9274,TESTING,1,0.0
90,43,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9274,TESTING,1,0.0
91,43,2016-01-01,D,0.0,0.6,1177.0,0.9274,TESTING,1,1177.0
88,43,2018-01-01,D,1177.0,1.0,,0.9274,TESTING,1,0.0
95,45,2012-01-01,D,0.0,0.0,0.0,0.2558,TRAINING,1,0.0
94,45,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2558,TRAINING,1,0.0
93,45,2016-01-01,D,0.0,0.6,3061.0,0.2558,TRAINING,1,3061.0
92,45,2018-01-01,D,3061.0,0.5,,0.2558,TRAINING,1,0.0
97,46,2012-01-01,D,0.0,0.0,0.0,0.7849,TESTING,1,0.0
98,46,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7849,TESTING,1,0.0
99,46,2016-01-01,D,0.0,0.4,0.0,0.7849,TESTING,1,0.0
96,46,2018-01-01,D,0.0,0.5,,0.7849,TESTING,1,0.0
102,47,2012-01-01,D,0.0,0.5,0.0,0.2047,TRAINING,1,0.0
103,47,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2047,TRAINING,1,0.0
100,47,2016-01-01,D,0.0,0.8,0.0,0.2047,TRAINING,1,0.0
101,47,2018-01-01,D,0.0,1.0,,0.2047,TRAINING,1,0.0
106,48,2012-01-01,D,0.0,0.25,0.0,0.2747,TRAINING,1,0.0
107,48,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2747,TRAINING,1,0.0
104,48,2016-01-01,D,0.0,0.8,0.0,0.2747,TRAINING,1,0.0
105,48,2018-01-01,D,0.0,1.0,,0.2747,TRAINING,1,0.0
111,49,2012-01-01,D,0.0,0.25,0.0,0.9167,TESTING,1,0.0
110,49,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9167,TESTING,1,0.0
109,49,2016-01-01,D,0.0,0.6,0.0,0.9167,TESTING,1,0.0
108,49,2018-01-01,D,0.0,1.0,,0.9167,TESTING,1,0.0
112,52,2012-01-01,D,0.0,0.0,0.0,0.9998,TESTING,1,0.0
113,52,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9998,TESTING,1,0.0
114,52,2016-01-01,D,0.0,0.8,0.0,0.9998,TESTING,1,0.0
115,52,2018-01-01,D,0.0,1.0,,0.9998,TESTING,1,0.0
116,56,2012-01-01,D,0.0,0.5,0.0,0.0189,TRAINING,1,0.0
117,56,2014-01-01,D,0.0,0.6666666666666666,1000.0,0.0189,TRAINING,1,1000.0
118,56,2016-01-01,D,1000.0,1.0,0.0,0.0189,TRAINING,1,-1000.0
119,56,2018-01-01,D,0.0,1.0,,0.0189,TRAINING,1,0.0
122,60,2012-01-01,D,0.0,0.25,6000.0,0.2734,TRAINING,1,6000.0
123,60,2014-01-01,D,6000.0,0.3333333333333333,19250.0,0.2734,TRAINING,1,13250.0
120,60,2016-01-01,D,19250.0,0.8,2500.0,0.2734,TRAINING,1,-16750.0
121,60,2018-01-01,D,2500.0,1.0,,0.2734,TRAINING,1,0.0
124,61,2012-01-01,D,0.0,0.0,0.0,0.3005,TRAINING,1,0.0
125,61,2014-01-01,D,0.0,0.6666666666666666,0.0,0.3005,TRAINING,1,0.0
126,61,2016-01-01,D,0.0,0.6,0.0,0.3005,TRAINING,1,0.0
127,61,2018-01-01,D,0.0,0.5,,0.3005,TRAINING,1,0.0
128,62,2012-01-01,D,1000.0,0.0,2500.0,0.4658,TRAINING,1,1500.0
129,62,2014-01-01,D,2500.0,0.3333333333333333,0.0,0.4658,TRAINING,1,-2500.0
130,62,2016-01-01,D,0.0,0.8,1500.0,0.4658,TRAINING,1,1500.0
131,62,2018-01-01,D,1500.0,1.0,,0.4658,TRAINING,1,0.0
132,63,2012-01-01,D,1000.0,0.0,0.0,0.1899,TRAINING,1,-1000.0
133,63,2014-01-01,D,0.0,0.3333333333333333,7500.0,0.1899,TRAINING,1,7500.0
134,63,2016-01-01,D,7500.0,0.6,4500.0,0.1899,TRAINING,1,-3000.0
135,63,2018-01-01,D,4500.0,1.0,,0.1899,TRAINING,1,0.0
139,64,2012-01-01,D,0.0,0.25,0.0,0.7734,TESTING,1,0.0
138,64,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7734,TESTING,1,0.0
137,64,2016-01-01,D,0.0,0.8,0.0,0.7734,TESTING,1,0.0
136,64,2018-01-01,D,0.0,1.0,,0.7734,TESTING,1,0.0
140,66,2012-01-01,D,0.0,0.25,2600.0,0.1267,TRAINING,1,2600.0
141,66,2014-01-01,D,2600.0,0.3333333333333333,2610.0,0.1267,TRAINING,1,10.0
142,66,2016-01-01,D,2610.0,0.6,1602.0,0.1267,TRAINING,1,-1008.0
143,66,2018-01-01,D,1602.0,1.0,,0.1267,TRAINING,1,0.0
144,67,2012-01-01,D,0.0,0.5,0.0,0.1528,TRAINING,1,0.0
145,67,2014-01-01,D,0.0,0.6666666666666666,0.0,0.1528,TRAINING,1,0.0
146,67,2016-01-01,D,0.0,0.6,0.0,0.1528,TRAINING,1,0.0
