person,Year,party_short,donations_dollars,partyline_percent
422,2012,R,0.0,0.5
424,2012,R,0.0,0.5
426,2012,R,0.0,0.5
427,2012,R,0.0,0.75
428,2012,R,0.0,0.75
430,2012,R,0.0,0.75
432,2012,D,0.0,
433,2012,D,0.0,
505,2012,D,0.0,
536,2012,R,12000.0,
540,2012,R,0.0,
588,2012,D,0.0,
654,2012,R,0.0,
656,2012,R,0.0,
660,2012,R,0.0,
4,2014,D,0.0,0.3333333333333333
10,2014,D,2000.0,0.6666666666666666
12,2014,D,0.0,1.0
14,2014,D,0.0,0.3333333333333333
15,2014,D,0.0,0.0
16,2014,D,0.0,0.3333333333333333
17,2014,D,0.0,0.3333333333333333
18,2014,D,1000.0,0.3333333333333333
19,2014,D,0.0,0.3333333333333333
21,2014,D,0.0,0.3333333333333333
22,2014,D,0.0,0.3333333333333333
23,2014,D,0.0,0.3333333333333333
24,2014,D,0.0,0.3333333333333333
28,2014,D,0.0,0.3333333333333333
30,2014,D,0.0,0.6666666666666666
34,2014,D,0.0,0.6666666666666666
37,2014,D,0.0,0.3333333333333333
38,2014,D,0.0,0.3333333333333333
39,2014,D,0.0,0.3333333333333333
40,2014,D,0.0,0.3333333333333333
41,2014,D,0.0,0.3333333333333333
42,2014,D,2000.0,0.3333333333333333
43,2014,D,0.0,0.3333333333333333
45,2014,D,0.0,0.3333333333333333
46,2014,D,0.0,0.3333333333333333
47,2014,D,0.0,0.3333333333333333
48,2014,D,0.0,0.3333333333333333
49,2014,D,0.0,0.3333333333333333
52,2014,D,0.0,0.3333333333333333
56,2014,D,0.0,0.6666666666666666
60,2014,D,6000.0,0.3333333333333333
61,2014,D,0.0,0.6666666666666666
62,2014,D,2500.0,0.3333333333333333
63,2014,D,0.0,0.3333333333333333
64,2014,D,0.0,0.3333333333333333
66,2014,D,2600.0,0.3333333333333333
67,2014,D,0.0,0.6666666666666666
68,2014,D,0.0,0.3333333333333333
71,2014,D,0.0,0.3333333333333333
73,2014,D,1000.0,0.3333333333333333
74,2014,D,0.0,0.3333333333333333
75,2014,D,0.0,0.3333333333333333
77,2014,D,0.0,0.3333333333333333
78,2014,D,7500.0,0.3333333333333333
79,2014,D,0.0,0.6666666666666666
80,2014,D,0.0,0.3333333333333333
81,2014,D,0.0,0.3333333333333333
82,2014,D,1050.0,0.3333333333333333
84,2014,D,0.0,0.6666666666666666
85,2014,D,0.0,0.3333333333333333
86,2014,D,0.0,0.3333333333333333
89,2014,D,0.0,0.3333333333333333
90,2014,D,0.0,0.3333333333333333
91,2014,D,0.0,0.3333333333333333
94,2014,D,0.0,0.6666666666666666
95,2014,D,0.0,0.3333333333333333
99,2014,D,0.0,0.3333333333333333
101,2014,D,0.0,0.3333333333333333
102,2014,D,0.0,0.6666666666666666
103,2014,D,0.0,0.3333333333333333
104,2014,D,2500.0,0.3333333333333333
106,2014,D,0.0,0.3333333333333333
107,2014,D,0.0,0.3333333333333333
108,2014,D,0.0,0.0
109,2014,D,0.0,0.3333333333333333
110,2014,D,3500.0,0.3333333333333333
113,2014,D,0.0,0.3333333333333333
114,2014,D,0.0,0.3333333333333333
115,2014,D,0.0,0.3333333333333333
119,2014,D,0.0,0.3333333333333333
120,2014,D,0.0,0.3333333333333333
121,2014,D,0.0,0.3333333333333333
123,2014,D,0.0,0.3333333333333333
124,2014,D,0.0,0.3333333333333333
125,2014,D,0.0,0.3333333333333333
134,2014,D,0.0,0.3333333333333333
136,2014,D,0.0,0.3333333333333333
137,2014,D,0.0,0.3333333333333333
138,2014,D,0.0,0.3333333333333333
139,2014,D,0.0,0.3333333333333333
141,2014,D,3000.0,0.3333333333333333
