person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Bloomberg_Donations_Diff,Citadel_Donations_Diff,Year_2012,Year_2014,Year_2016
13,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
14,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
14,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
14,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
15,0.75,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
15,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
15,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
16,0.3333333333333333,0.2,0.3333333333333333,0.4,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
16,0.2,0.8571428571428571,0.7777777777777778,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
16,0.25,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
17,0.6,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
17,0.5,0.5,0.0,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
17,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
18,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
18,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
18,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
19,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
19,0.6666666666666666,0.8,0.3333333333333333,0.6,0.5,0,1,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
19,0.8,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,1,1,0,0,0,0,0,1,0,TRAINING,1000.0,1000.0,0,0,1
20,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
20,1.0,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
20,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
21,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
21,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
21,0.25,0.5,0.0,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
22,0.25,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
22,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,200.0,200.0,0,1,0
