"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Donovan Dan","$21600","$21600","$0","Candidate (R-NY11)","Republican","Cand","House"
"Lowey Nita M","$18100","$18100","$0","Candidate (D-NY17)","Democrat","Cand","House"
"Maloney Sean Patrick","$16500","$16500","$0","Candidate (D-NY18)","Democrat","Cand","House"
"Soderberg Nancy","$13550","$13550","$0","Candidate (D-FL06)","Democrat","Cand","House"
"Gottheimer Josh","$13225","$13225","$0","Candidate (D-NJ05)","Democrat","Cand","House"
"Ossoff Jon","$13192","$13192","$0","Candidate (D-GA06)","Democrat","Cand","House"
"Slotkin Elissa","$9725","$9725","$0","Candidate (D-MI08)","Democrat","Cand","House"
"Kennedy Joe III","$9400","$9400","$0","Candidate (D-MA04)","Democrat","Cand","House"
"O'Rourke Beto","$8723","$8723","$0","Candidate (D-TX16)","Democrat","Cand","House"
"Malinowski Tom","$8105","$8105","$0","Candidate (D-NJ07)","Democrat","Cand","House"
"Rosen Jacky","$7300","$7300","$0","Candidate (D-NV03)","Democrat","Cand","House"
"Delgado Antonio","$7008","$7008","$0","Candidate (D-NY19)","Democrat","Cand","House"
"Crow Jason","$6909","$6909","$0","Candidate (D-CO06)","Democrat","Cand","House"
"Crowley Joseph","$6785","$6785","$0","Candidate (D-NY14)","Democrat","Cand","House"
"Kirkpatrick Ann","$6757","$6757","$0","Candidate (D-AZ02)","Democrat","Cand","House"
"Sherrill Mikie","$6740","$6740","$0","Candidate (D-NJ11)","Democrat","Cand","House"
"Lee Susie","$6721","$6721","$0","Candidate (D-NV03)","Democrat","Cand","House"
"Feehan Daniel","$6428","$6428","$0","Candidate (D-MN01)","Democrat","Cand","House"
"Craig Angie","$6400","$6400","$0","Candidate (D-MN02)","Democrat","Cand","House"
"Shirley Liuba Grechen","$6225","$6225","$0","Candidate (D-NY02)","Democrat","Cand","House"
"McGrath Amy","$6152","$6152","$0","Candidate (D-KY06)","Democrat","Cand","House"
"Luria Elaine","$6080","$6080","$0","Candidate (D-VA02)","Democrat","Cand","House"
"Porter Katie","$5447","$5447","$0","Candidate (D-CA45)","Democrat","Cand","House"
"Moulton Seth","$5400","$5400","$0","Candidate (D-MA06)","Democrat","Cand","House"
"Kim Andy","$4963","$4963","$0","Candidate (D-NJ03)","Democrat","Cand","House"
"O'Connor Danny","$4788","$4788","$0","Candidate (D-OH12)","Democrat","Cand","House"
"Jones Gina Ortiz","$4704","$4704","$0","Candidate (D-TX23)","Democrat","Cand","House"
"McNeill Frank","$4700","$4700","$0","Candidate (D-NC08)","Democrat","Cand","House"
"Fletcher Lizzie","$4665","$4665","$0","Candidate (D-TX07)","Democrat","Cand","House"
"Cockburn Leslie","$3808","$3808","$0","Candidate (D-VA05)","Democrat","Cand","House"
"Hill Katie","$3808","$3808","$0","Candidate (D-CA25)","Democrat","Cand","House"
"Levin Mike","$3727","$3727","$0","Candidate (D-CA49)","Democrat","Cand","House"
"Shalala Donna","$3705","$3705","$0","Candidate (D-FL27)","Democrat","Cand","House"
"Radinovich Joe","$3701","$3701","$0","Candidate (D-MN08)","Democrat","Cand","House"
"McCready Dan","$3700","$3700","$0","Candidate (D-NC09)","Democrat","Cand","House"
"Sinema Kyrsten","$3700","$3700","$0","Candidate (D-AZ09)","Democrat","Cand","House"
"Schrier Kim","$3700","$3700","$0","Candidate (D-WA08)","Democrat","Cand","House"
"Davis Paul","$3408","$3408","$0","Candidate (D-KS02)","Democrat","Cand","House"
"Londrigan Betsy Dirksen","$3300","$3300","$0","Candidate (D-IL13)","Democrat","Cand","House"
"Allred Colin","$3278","$3278","$0","Candidate (D-TX32)","Democrat","Cand","House"
"Davids Sharice","$3235","$3235","$0","Candidate (D-KS03)","Democrat","Cand","House"
"Saad Fayrouz","$3200","$3200","$0","Candidate (D-MI11)","Democrat","Cand","House"
"Thompson James","$3000","$3000","$0","Candidate (D-KS04)","Democrat","Cand","House"
"Harder Josh","$2979","$2979","$0","Candidate (D-CA10)","Democrat","Cand","House"
