House Vote #151 2015-04-14T17:55:00 - H.R. 650: Preserving Access to Manufactured Housing Act of 2015
person,state,district,vote,name,party
400262,WA,7,Nay,"Rep. Jim McDermott [D, 1989-2016]",Democrat
400263,MA,2,Nay,"Rep. James “Jim” McGovern [D, 2013-2022]",Democrat
400271,NY,5,Yea,"Rep. Gregory Meeks [D, 2013-2022]",Democrat
400273,FL,7,Yea,"Rep. John Mica [R, 1993-2016]",Republican
400276,MI,10,Yea,"Rep. Candice Miller [R, 2003-2016]",Republican
400279,FL,1,Yea,"Rep. Jeff Miller [R, 2001-2016]",Republican
400285,PA,18,Yea,"Rep. Tim Murphy [R, 2003-2017]",Republican
400289,NY,10,Nay,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,CA,32,Nay,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,MA,1,Nay,"Rep. Richard Neal [D, 2013-2022]",Democrat
400297,CA,22,Yea,"Rep. Devin Nunes [R, 2013-2022]",Republican
400308,NJ,6,Nay,"Rep. Frank Pallone Jr. [D, 1993-2022]",Democrat
400309,NJ,9,Nay,"Rep. Bill Pascrell Jr. [D, 2013-2022]",Democrat
400313,NM,2,Yea,"Rep. Stevan “Steve” Pearce [R, 2011-2018]",Republican
400314,CA,12,Nay,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat
400316,MN,7,Yea,"Rep. Collin Peterson [D, 1991-2020]",Democrat
400320,PA,16,Yea,"Rep. Joseph Pitts [R, 1997-2016]",Republican
400326,NC,4,Nay,"Rep. David Price [D, 1997-2022]",Democrat
400333,NY,13,Nay,"Rep. Charles “Charlie” Rangel [D, 2013-2016]",Democrat
400340,KY,5,Yea,"Rep. Harold “Hal” Rogers [R, 1981-2022]",Republican
400341,AL,3,Yea,"Rep. Mike Rogers [R, 2003-2022]",Republican
400343,CA,48,Yea,"Rep. Dana Rohrabacher [R, 2013-2018]",Republican
400344,FL,27,Yea,"Rep. Ileana Ros-Lehtinen [R, 2013-2018]",Republican
400347,CA,40,Nay,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400348,CA,39,Yea,"Rep. Edward “Ed” Royce [R, 2013-2018]",Republican
400349,MD,2,Nay,"Rep. A. Dutch Ruppersberger [D, 2003-2022]",Democrat
400350,IL,1,Not Voting,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400351,WI,1,Yea,"Rep. Paul Ryan [R, 1999-2018]",Republican
400352,OH,13,Nay,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,CA,38,Nay,"Rep. Linda Sánchez [D, 2013-2022]",Democrat
400356,CA,46,Nay,"Rep. Loretta Sanchez [D, 2013-2016]",Democrat
400360,IL,9,Nay,"Rep. Janice “Jan” Schakowsky [D, 1999-2022]",Democrat
400361,CA,28,Nay,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,GA,13,Yea,"Rep. David Scott [D, 2003-2022]",Democrat
400364,VA,3,Nay,"Rep. Robert “Bobby” Scott [D, 1993-2022]",Democrat
400365,WI,5,Yea,"Rep. James Sensenbrenner Jr. [R, 2003-2020]",Republican
400366,NY,15,Nay,"Rep. José Serrano [D, 2013-2020]",Democrat
400367,TX,32,Yea,"Rep. Pete Sessions [R, 2003-2018]",Republican
400371,CA,30,Yea,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400373,IL,15,Yea,"Rep. John Shimkus [R, 2013-2020]",Republican
400376,ID,2,Yea,"Rep. Michael “Mike” Simpson [R, 1999-2022]",Republican
400378,NY,25,Nay,"Rep. Louise Slaughter [D, 2013-2018]",Democrat
400379,WA,9,Not Voting,"Rep. Adam Smith [D, 1997-2022]",Democrat
400380,NJ,4,Yea,"Rep. Christopher “Chris” Smith [R, 1981-2022]",Republican
400381,TX,21,Yea,"Rep. Lamar Smith [R, 1987-2018]",Republican
400402,MS,2,Nay,"Rep. Bennie Thompson [D, 1993-2022]",Democrat
400403,CA,5,Nay,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,TX,13,Yea,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400406,OH,12,Yea,"Rep. Patrick “Pat” Tiberi [R, 2001-2018]",Republican
