first,last,party,donations2012,donations2014,donations2016,donations2018
Tammy,Duckworth,D,0.0,0.0,405.0,0.0
Lon,Johnson,D,0.0,0.0,250.0,0.0
Denise,Juneau,D,0.0,0.0,15.0,0.0
Douglas,Applegate,D,0.0,0.0,10.0,0.0
Jay,Sidie,D,0.0,0.0,5.0,0.0
Christina,Hartman,D,0.0,0.0,3.0,0.0
Antonio,Delgado,D,0.0,0.0,0.0,8100.0
Ashley,Lunkenheimer,D,0.0,0.0,0.0,5900.0
Elissa,Slotkin,D,0.0,0.0,0.0,5474.0
Elaine,Luria,D,0.0,0.0,0.0,5455.0
Debbie,Mucarsel-Powell,D,0.0,0.0,0.0,5450.0
Kyrsten,Sinema,D,0.0,0.0,0.0,5400.0
Karen,Handel,R,0.0,0.0,0.0,5400.0
Angie,Craig,D,0.0,0.0,0.0,5400.0
Susie,Lee,D,0.0,0.0,0.0,5400.0
Adam,Schiff,D,0.0,0.0,0.0,5400.0
Scott,Taylor,R,0.0,0.0,0.0,5400.0
Ann,Kirkpatrick,D,0.0,0.0,0.0,5400.0
Andy,Barr,R,0.0,0.0,0.0,5400.0
Greg,Gianforte,R,0.0,0.0,0.0,5400.0
Michael,Waltz,R,0.0,0.0,0.0,5400.0
Jason,Crow,D,0.0,0.0,0.0,5399.0
Chrissy,Houlahan,D,0.0,0.0,0.0,5398.0
Max,Rose,D,0.0,0.0,0.0,5063.0
Beto,O'Rourke,D,0.0,0.0,0.0,4725.0
Haley,Stevens,D,0.0,0.0,0.0,4365.0
Dan,McCready,D,0.0,0.0,0.0,4163.0
Daniel,Feehan,D,0.0,0.0,0.0,4068.0
Amy,McGrath,D,0.0,0.0,0.0,4068.0
Mikie,Sherrill,D,0.0,0.0,0.0,4063.0
Bryan,Steil,R,0.0,0.0,0.0,3700.0
Tom,Malinowski,D,0.0,0.0,0.0,2775.0
Cindy,Axne,D,0.0,0.0,0.0,2758.0
Kim,Schrier,D,0.0,0.0,0.0,2750.0
Maura,Sullivan,D,0.0,0.0,0.0,2750.0
Sharice,Davids,D,0.0,0.0,0.0,2750.0
Katie,Porter,D,0.0,0.0,0.0,2725.0
Lizzie,Fletcher,D,0.0,0.0,0.0,2705.0
Abigail,Spanberger,D,0.0,0.0,0.0,2705.0
Josh,Harder,D,0.0,0.0,0.0,2705.0
Mimi,Walters,R,0.0,0.0,0.0,2700.0
Mike,Levin,D,0.0,0.0,0.0,2700.0
Kara,Eastman,D,0.0,0.0,0.0,2700.0
Dean,Phillips,D,0.0,0.0,0.0,2700.0
Mark,Green,R,0.0,0.0,0.0,2700.0
Marsha,Blackburn,R,0.0,0.0,0.0,2700.0
Colin,Allred,D,0.0,0.0,0.0,2700.0
Lena,Epstein,R,0.0,0.0,0.0,2700.0
Susan,Wild,D,0.0,0.0,0.0,2700.0
Young,Kim,R,0.0,0.0,0.0,2700.0
Andy,Kim,D,0.0,0.0,0.0,2700.0
Lea,Peterson,R,0.0,0.0,0.0,2700.0
Dan,Crenshaw,R,0.0,0.0,0.0,2700.0
Katie,Hill,D,0.0,0.0,0.0,2700.0
Anthony,Gonzalez,R,0.0,0.0,0.0,2700.0
Jahana,Hayes,D,0.0,0.0,0.0,2700.0
Betsy,Londrigan,D,0.0,0.0,0.0,2700.0
Kevin,Cramer,R,0.0,0.0,0.0,2700.0
Joe,Radinovich,D,0.0,0.0,0.0,2700.0
Jim,Renacci,R,0.0,0.0,0.0,2700.0
Linda,Coleman,D,0.0,0.0,0.0,2360.0
Randy,Bryce,D,0.0,0.0,0.0,2005.0
Van,Taylor,R,0.0,0.0,0.0,2000.0
Kathy,Manning,D,0.0,0.0,0.0,1855.0
Carolyn,Long,D,0.0,0.0,0.0,1810.0
Xochitl,Small,D,0.0,0.0,0.0,1809.0
Donna,Shalala,D,0.0,0.0,0.0,1804.0
Brian,Forde,D,0.0,0.0,0.0,1500.0
Gina,Jones,D,0.0,0.0,0.0,1363.0
Pat,Ryan,D,0.0,0.0,0.0,1363.0
Roger,Huffstetler,D,0.0,0.0,0.0,1363.0
John,Ward,R,0.0,0.0,0.0,1250.0
Sean,Casten,D,0.0,0.0,0.0,1000.0
Grant,Kier,D,0.0,0.0,0.0,1000.0
Duncan,Hunter,R,0.0,0.0,0.0,1000.0
Jennifer,Wexton,D,0.0,0.0,0.0,1000.0
Rachel,Reddick,D,0.0,0.0,0.0,1000.0
Edward,Meier,D,0.0,0.0,0.0,1000.0
JD,Scholten,D,0.0,0.0,0.0,630.0
Alejandra,Campoverdi,D,0.0,0.0,0.0,500.0
Suraj,Patel,D,0.0,0.0,0.0,400.0
Alyse,Galvin,D,0.0,0.0,0.0,132.0
John,Lewis,D,0.0,0.0,0.0,125.0
Jacky,Rosen,D,0.0,0.0,0.0,125.0
Jared,Golden,D,0.0,0.0,0.0,82.0
Jess,King,D,0.0,0.0,0.0,77.0
Shireen,Ghorbani,D,0.0,0.0,0.0,77.0
Susan,Palmer,D,0.0,0.0,0.0,77.0
Diane,Bush,D,0.0,0.0,0.0,77.0
Dana,Balter,D,0.0,0.0,0.0,77.0
Kyle,Horton,D,0.0,0.0,0.0,77.0
Karen,McCormick,D,0.0,0.0,0.0,77.0
Jessica,Morse,D,0.0,0.0,0.0,77.0
Tracy,Mitrano,D,0.0,0.0,0.0,77.0
Theresa,Gasper,D,0.0,0.0,0.0,77.0
Richard,Ojeda,D,0.0,0.0,0.0,55.0
Aftab,Pureval,D,0.0,0.0,0.0,55.0
Abby,Finkenauer,D,0.0,0.0,0.0,53.0
Kristen,Carlson,D,0.0,0.0,0.0,50.0
Debra,Haaland,D,0.0,0.0,0.0,50.0
Catherine,Albro,D,0.0,0.0,0.0,50.0
Scott,Wallace,D,0.0,0.0,0.0,50.0
George,Scott,D,0.0,0.0,0.0,50.0
Sri,Kulkarni,D,0.0,0.0,0.0,27.0
Dan,Kohl,D,0.0,0.0,0.0,25.0
Harley,Rouda,D,0.0,0.0,0.0,25.0
TJ,Cox,D,0.0,0.0,0.0,5.0
Leslie,Cockburn,D,0.0,0.0,0.0,5.0
Anthony,Brindisi,D,0.0,0.0,0.0,5.0
Clarke,Tucker,D,0.0,0.0,0.0,5.0
Paul,Davis,D,0.0,0.0,0.0,5.0
Kathleen,Williams,D,0.0,0.0,0.0,5.0
