person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_0,sex_female,sex_male,Year_2012,Year_2014,Year_2016,Year_2018,ethnicity_0,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_N,party_short_R,MODELING_GROUP,Disney_Donations_Diff,Bloomberg_Donations_Diff,Citadel_Donations_Diff
31,1.0,0.75,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,TRAINING,,,
31,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,TRAINING,,,0.0
31,0.3333333333333333,0.6,0.0,0.2,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,TRAINING,,,0.0
31,0.4,0.0,0.3333333333333333,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,TRAINING,,,0.0
32,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
32,0.3333333333333333,0.6,0.0,0.2,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
32,0.4,0.14285714285714285,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
32,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
33,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
33,0.8,0.42857142857142855,0.4444444444444444,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
33,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
33,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TRAINING,,,
34,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TESTING,,,
34,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
34,0.6666666666666666,0.8,0.6666666666666666,0.4,0.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
34,0.25,0.3333333333333333,0.0,0.5714285714285714,0.3333333333333333,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
35,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
35,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
35,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
35,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
36,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
36,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
36,0.25,0.5,0.0,0.7142857142857143,0.3333333333333333,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
36,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
37,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,-4675.0,,0.0
37,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,0.0,,0.0
37,0.6,0.2857142857142857,0.2222222222222222,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,2000.0,,0.0
37,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
38,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
38,0.25,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
38,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
38,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
39,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
39,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TESTING,,,
39,0.25,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
39,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
40,0.25,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
40,0.3333333333333333,0.6,0.0,0.2,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
40,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
40,0.5,0.75,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TRAINING,,,
41,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
41,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
41,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
41,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TESTING,,,
42,1.0,1.0,0.6666666666666666,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TESTING,,,
42,0.2,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TESTING,-1000.0,,0.0
42,0.3333333333333333,1.0,0.3333333333333333,0.6,0.75,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,1000.0,,0.0
