level_0,index,person,Year,wikidataid,sex,last,person_y,FirstName,first,death,Number_Sessions_Served,party_short,person_x,party_x,ethnicity,Session_114,name,birth,party_y,deathplace,Session_116,ID_NameParty,Session_113,LastName,pageid,Session_115,wikititle,Pure_name,name_y,religion,birthplace,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1
461,461,15,2016,Q934898,male,Cummings,400090.0,Elijah,Elijah,0.0,4.0,D,400090,D,black,True,"Rep. Elijah Cummings [D, 1996-2019]",1951-01-18,Democrat,0.0,True,ElijahCummingsD,True,Cummings,414574.0,True,Elijah_Cummings, Elijah Cummings ,Elijah Cummings,protestantism baptist,"39.28639,-76.615",0.0,0.4,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,3700.0,0.0
690,690,15,2018,Q934898,male,Cummings,400090.0,Elijah,Elijah,0.0,4.0,D,400090,D,black,True,"Rep. Elijah Cummings [D, 1996-2019]",1951-01-18,Democrat,0.0,True,ElijahCummingsD,True,Cummings,414574.0,True,Elijah_Cummings, Elijah Cummings ,Elijah Cummings,protestantism baptist,"39.28639,-76.615",3700.0,0.0,0.0,1.0,1.0,1.0,,0.0
4,4,16,2012,Q934898,male,Cummings,400090.0,Elijah,Elijah,0.0,4.0,D,400090,D,black,True,"Rep. Elijah Cummings [D, 1996-2019]",1951-01-18,0,0.0,True,ElijahCummingsD,True,Cummings,414574.0,True,Elijah_Cummings, Elijah Cummings ,Elijah Cummings,protestantism baptist,"39.28639,-76.615",0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,
233,233,16,2014,Q934898,male,Cummings,400090.0,Elijah,Elijah,0.0,4.0,D,400090,D,black,True,"Rep. Elijah Cummings [D, 1996-2019]",1951-01-18,0,0.0,True,ElijahCummingsD,True,Cummings,414574.0,True,Elijah_Cummings, Elijah Cummings ,Elijah Cummings,protestantism baptist,"39.28639,-76.615",0.0,0.0,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
462,462,16,2016,Q934898,male,Cummings,400090.0,Elijah,Elijah,0.0,4.0,D,400090,D,black,True,"Rep. Elijah Cummings [D, 1996-2019]",1951-01-18,0,0.0,True,ElijahCummingsD,True,Cummings,414574.0,True,Elijah_Cummings, Elijah Cummings ,Elijah Cummings,protestantism baptist,"39.28639,-76.615",0.0,0.0,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,3700.0,0.0
691,691,16,2018,Q934898,male,Cummings,400090.0,Elijah,Elijah,0.0,4.0,D,400090,D,black,True,"Rep. Elijah Cummings [D, 1996-2019]",1951-01-18,0,0.0,True,ElijahCummingsD,True,Cummings,414574.0,True,Elijah_Cummings, Elijah Cummings ,Elijah Cummings,protestantism baptist,"39.28639,-76.615",3700.0,0.0,0.0,1.0,1.0,1.0,,0.0
5,5,17,2012,Q1164657,male,Davis,400093.0,Danny,Danny,0.0,4.0,D,400093,D,black,True,"Rep. Danny Davis [D, 1997-2022]",1941-09-06,Democrat,0.0,True,DannyDavisD,True,Davis,412062.0,True,Danny_K._Davis, Danny Davis ,Danny K. Davis,protestantism baptist,"33.12167,-91.5475",0.0,0.0,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,
234,234,17,2014,Q1164657,male,Davis,400093.0,Danny,Danny,0.0,4.0,D,400093,D,black,True,"Rep. Danny Davis [D, 1997-2022]",1941-09-06,Democrat,0.0,True,DannyDavisD,True,Davis,412062.0,True,Danny_K._Davis, Danny Davis ,Danny K. Davis,protestantism baptist,"33.12167,-91.5475",0.0,0.0,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
463,463,17,2016,Q1164657,male,Davis,400093.0,Danny,Danny,0.0,4.0,D,400093,D,black,True,"Rep. Danny Davis [D, 1997-2022]",1941-09-06,Democrat,0.0,True,DannyDavisD,True,Davis,412062.0,True,Danny_K._Davis, Danny Davis ,Danny K. Davis,protestantism baptist,"33.12167,-91.5475",0.0,0.2,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0
692,692,17,2018,Q1164657,male,Davis,400093.0,Danny,Danny,0.0,4.0,D,400093,D,black,True,"Rep. Danny Davis [D, 1997-2022]",1941-09-06,Democrat,0.0,True,DannyDavisD,True,Davis,412062.0,True,Danny_K._Davis, Danny Davis ,Danny K. Davis,protestantism baptist,"33.12167,-91.5475",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
6,6,18,2012,Q460675,female,Davis,400097.0,Susan,Susan,0.0,4.0,D,400097,D,white,True,"Rep. Susan Davis [D, 2003-2020]",1944-04-13,Democrat,0.0,True,SusanDavisD,True,Davis,409734.0,True,Susan_Davis_(politician), Susan Davis ,Susan Davis,judaism,"42.375,-71.10611",0.0,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,
235,235,18,2014,Q460675,female,Davis,400097.0,Susan,Susan,0.0,4.0,D,400097,D,white,True,"Rep. Susan Davis [D, 2003-2020]",1944-04-13,Democrat,0.0,True,SusanDavisD,True,Davis,409734.0,True,Susan_Davis_(politician), Susan Davis ,Susan Davis,judaism,"42.375,-71.10611",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
464,464,18,2016,Q460675,female,Davis,400097.0,Susan,Susan,0.0,4.0,D,400097,D,white,True,"Rep. Susan Davis [D, 2003-2020]",1944-04-13,Democrat,0.0,True,SusanDavisD,True,Davis,409734.0,True,Susan_Davis_(politician), Susan Davis ,Susan Davis,judaism,"42.375,-71.10611",0.0,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0
693,693,18,2018,Q460675,female,Davis,400097.0,Susan,Susan,0.0,4.0,D,400097,D,white,True,"Rep. Susan Davis [D, 2003-2020]",1944-04-13,Democrat,0.0,True,SusanDavisD,True,Davis,409734.0,True,Susan_Davis_(politician), Susan Davis ,Susan Davis,judaism,"42.375,-71.10611",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
7,7,19,2012,Q1758507,male,DeFazio,400100.0,Peter,Peter,0.0,4.0,D,400100,D,white,True,"Rep. Peter DeFazio [D, 1987-2022]",1947-05-27,Democrat,0.0,True,PeterDeFazioD,True,DeFazio,699474.0,True,Peter_DeFazio, Peter DeFazio ,Peter A. DeFazio,catholicism,"42.28333,-71.23333",0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,
236,236,19,2014,Q1758507,male,DeFazio,400100.0,Peter,Peter,0.0,4.0,D,400100,D,white,True,"Rep. Peter DeFazio [D, 1987-2022]",1947-05-27,Democrat,0.0,True,PeterDeFazioD,True,DeFazio,699474.0,True,Peter_DeFazio, Peter DeFazio ,Peter A. DeFazio,catholicism,"42.28333,-71.23333",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.75,0.0,0.0
465,465,19,2016,Q1758507,male,DeFazio,400100.0,Peter,Peter,0.0,4.0,D,400100,D,white,True,"Rep. Peter DeFazio [D, 1987-2022]",1947-05-27,Democrat,0.0,True,PeterDeFazioD,True,DeFazio,699474.0,True,Peter_DeFazio, Peter DeFazio ,Peter A. DeFazio,catholicism,"42.28333,-71.23333",0.0,0.8,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,0.0,0.0
694,694,19,2018,Q1758507,male,DeFazio,400100.0,Peter,Peter,0.0,4.0,D,400100,D,white,True,"Rep. Peter DeFazio [D, 1987-2022]",1947-05-27,Democrat,0.0,True,PeterDeFazioD,True,DeFazio,699474.0,True,Peter_DeFazio, Peter DeFazio ,Peter A. DeFazio,catholicism,"42.28333,-71.23333",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
8,8,20,2012,Q437159,female,DeGette,400101.0,Diana,Diana,0.0,4.0,D,400101,D,white,True,"Rep. Diana DeGette [D, 1997-2022]",1957-07-29,Democrat,0.0,True,DianaDeGetteD,True,DeGette,410119.0,True,Diana_DeGette, Diana DeGette ,Diana DeGette,protestantism reformed,"35.69389,139.41944",0.0,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1000.0,
237,237,20,2014,Q437159,female,DeGette,400101.0,Diana,Diana,0.0,4.0,D,400101,D,white,True,"Rep. Diana DeGette [D, 1997-2022]",1957-07-29,Democrat,0.0,True,DianaDeGetteD,True,DeGette,410119.0,True,Diana_DeGette, Diana DeGette ,Diana DeGette,protestantism reformed,"35.69389,139.41944",1000.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
466,466,20,2016,Q437159,female,DeGette,400101.0,Diana,Diana,0.0,4.0,D,400101,D,white,True,"Rep. Diana DeGette [D, 1997-2022]",1957-07-29,Democrat,0.0,True,DianaDeGetteD,True,DeGette,410119.0,True,Diana_DeGette, Diana DeGette ,Diana DeGette,protestantism reformed,"35.69389,139.41944",0.0,0.6,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,1000.0
695,695,20,2018,Q437159,female,DeGette,400101.0,Diana,Diana,0.0,4.0,D,400101,D,white,True,"Rep. Diana DeGette [D, 1997-2022]",1957-07-29,Democrat,0.0,True,DianaDeGetteD,True,DeGette,410119.0,True,Diana_DeGette, Diana DeGette ,Diana DeGette,protestantism reformed,"35.69389,139.41944",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
9,9,21,2012,Q434952,female,DeLauro,400103.0,Rosa,Rosa,0.0,4.0,D,400103,D,white,True,"Rep. Rosa DeLauro [D, 1991-2022]",1943-03-02,Democrat,0.0,True,RosaDeLauroD,True,DeLauro,410173.0,True,Rosa_DeLauro, Rosa DeLauro ,Rosa L. DeLauro,catholicism,"41.30833,-72.925",0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,
238,238,21,2014,Q434952,female,DeLauro,400103.0,Rosa,Rosa,0.0,4.0,D,400103,D,white,True,"Rep. Rosa DeLauro [D, 1991-2022]",1943-03-02,Democrat,0.0,True,RosaDeLauroD,True,DeLauro,410173.0,True,Rosa_DeLauro, Rosa DeLauro ,Rosa L. DeLauro,catholicism,"41.30833,-72.925",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
467,467,21,2016,Q434952,female,DeLauro,400103.0,Rosa,Rosa,0.0,4.0,D,400103,D,white,True,"Rep. Rosa DeLauro [D, 1991-2022]",1943-03-02,Democrat,0.0,True,RosaDeLauroD,True,DeLauro,410173.0,True,Rosa_DeLauro, Rosa DeLauro ,Rosa L. DeLauro,catholicism,"41.30833,-72.925",0.0,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,80.0,0.0
696,696,21,2018,Q434952,female,DeLauro,400103.0,Rosa,Rosa,0.0,4.0,D,400103,D,white,True,"Rep. Rosa DeLauro [D, 1991-2022]",1943-03-02,Democrat,0.0,True,RosaDeLauroD,True,DeLauro,410173.0,True,Rosa_DeLauro, Rosa DeLauro ,Rosa L. DeLauro,catholicism,"41.30833,-72.925",80.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,,0.0
10,10,23,2012,Q363817,male,Doggett,400111.0,Lloyd,Lloyd,0.0,4.0,D,400111,D,white,True,"Rep. Lloyd Doggett [D, 2013-2022]",1946-10-06,Democrat,0.0,True,LloydDoggettD,True,Doggett,833550.0,True,Lloyd_Doggett, Lloyd Doggett ,Lloyd Doggett,protestantism methodist,"30.3,-97.73333",250.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,
239,239,23,2014,Q363817,male,Doggett,400111.0,Lloyd,Lloyd,0.0,4.0,D,400111,D,white,True,"Rep. Lloyd Doggett [D, 2013-2022]",1946-10-06,Democrat,0.0,True,LloydDoggettD,True,Doggett,833550.0,True,Lloyd_Doggett, Lloyd Doggett ,Lloyd Doggett,protestantism methodist,"30.3,-97.73333",0.0,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,250.0
468,468,23,2016,Q363817,male,Doggett,400111.0,Lloyd,Lloyd,0.0,4.0,D,400111,D,white,True,"Rep. Lloyd Doggett [D, 2013-2022]",1946-10-06,Democrat,0.0,True,LloydDoggettD,True,Doggett,833550.0,True,Lloyd_Doggett, Lloyd Doggett ,Lloyd Doggett,protestantism methodist,"30.3,-97.73333",0.0,0.4,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0
697,697,23,2018,Q363817,male,Doggett,400111.0,Lloyd,Lloyd,0.0,4.0,D,400111,D,white,True,"Rep. Lloyd Doggett [D, 2013-2022]",1946-10-06,Democrat,0.0,True,LloydDoggettD,True,Doggett,833550.0,True,Lloyd_Doggett, Lloyd Doggett ,Lloyd Doggett,protestantism methodist,"30.3,-97.73333",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
11,11,24,2012,Q1344200,male,Doyle,400114.0,Michael,Michael,0.0,4.0,D,400114,D,white,True,"Rep. Michael Doyle [D, 2003-2018]",1953-08-05,Democrat,0.0,True,MichaelDoyleD,True,Doyle,962284.0,True,Michael_F._Doyle, Michael Doyle ,Michael F. Doyle,catholicism,"40.42222,-79.88611",0.0,0.5,0.5,0.3333333333333333,0.5714285714285714,1.0,0.0,
240,240,24,2014,Q1344200,male,Doyle,400114.0,Michael,Michael,0.0,4.0,D,400114,D,white,True,"Rep. Michael Doyle [D, 2003-2018]",1953-08-05,Democrat,0.0,True,MichaelDoyleD,True,Doyle,962284.0,True,Michael_F._Doyle, Michael Doyle ,Michael F. Doyle,catholicism,"40.42222,-79.88611",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0
469,469,24,2016,Q1344200,male,Doyle,400114.0,Michael,Michael,0.0,4.0,D,400114,D,white,True,"Rep. Michael Doyle [D, 2003-2018]",1953-08-05,Democrat,0.0,True,MichaelDoyleD,True,Doyle,962284.0,True,Michael_F._Doyle, Michael Doyle ,Michael F. Doyle,catholicism,"40.42222,-79.88611",0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0
698,698,24,2018,Q1344200,male,Doyle,400114.0,Michael,Michael,0.0,4.0,D,400114,D,white,True,"Rep. Michael Doyle [D, 2003-2018]",1953-08-05,Democrat,0.0,True,MichaelDoyleD,True,Doyle,962284.0,True,Michael_F._Doyle, Michael Doyle ,Michael F. Doyle,catholicism,"40.42222,-79.88611",0.0,0.0,0.0,0.0,1.0,0.0,,0.0
12,12,25,2012,Q1329618,male,Engel,400122.0,Eliot,Eliot,0.0,4.0,D,400122,D,white,True,"Rep. Eliot Engel [D, 2013-2020]",1947-02-18,Democrat,0.0,True,EliotEngelD,True,Engel,963053.0,True,Eliot_Engel, Eliot Engel ,Eliot L. Engel,judaism,"40.67,-73.94",0.0,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,
241,241,25,2014,Q1329618,male,Engel,400122.0,Eliot,Eliot,0.0,4.0,D,400122,D,white,True,"Rep. Eliot Engel [D, 2013-2020]",1947-02-18,Democrat,0.0,True,EliotEngelD,True,Engel,963053.0,True,Eliot_Engel, Eliot Engel ,Eliot L. Engel,judaism,"40.67,-73.94",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
470,470,25,2016,Q1329618,male,Engel,400122.0,Eliot,Eliot,0.0,4.0,D,400122,D,white,True,"Rep. Eliot Engel [D, 2013-2020]",1947-02-18,Democrat,0.0,True,EliotEngelD,True,Engel,963053.0,True,Eliot_Engel, Eliot Engel ,Eliot L. Engel,judaism,"40.67,-73.94",0.0,0.4,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0
699,699,25,2018,Q1329618,male,Engel,400122.0,Eliot,Eliot,0.0,4.0,D,400122,D,white,True,"Rep. Eliot Engel [D, 2013-2020]",1947-02-18,Democrat,0.0,True,EliotEngelD,True,Engel,963053.0,True,Eliot_Engel, Eliot Engel ,Eliot L. Engel,judaism,"40.67,-73.94",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
13,13,26,2012,Q291193,female,Eshoo,400124.0,Anna,Anna,0.0,4.0,D,400124,D,white,True,"Rep. Anna Eshoo [D, 2013-2022]",1942-12-13,Democrat,0.0,True,AnnaEshooD,True,Eshoo,408815.0,True,Anna_Eshoo, Anna Eshoo ,Anna G. Eshoo,catholicism,"41.675,-72.78722",0.0,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,
242,242,26,2014,Q291193,female,Eshoo,400124.0,Anna,Anna,0.0,4.0,D,400124,D,white,True,"Rep. Anna Eshoo [D, 2013-2022]",1942-12-13,Democrat,0.0,True,AnnaEshooD,True,Eshoo,408815.0,True,Anna_Eshoo, Anna Eshoo ,Anna G. Eshoo,catholicism,"41.675,-72.78722",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0
471,471,26,2016,Q291193,female,Eshoo,400124.0,Anna,Anna,0.0,4.0,D,400124,D,white,True,"Rep. Anna Eshoo [D, 2013-2022]",1942-12-13,Democrat,0.0,True,AnnaEshooD,True,Eshoo,408815.0,True,Anna_Eshoo, Anna Eshoo ,Anna G. Eshoo,catholicism,"41.675,-72.78722",0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0
700,700,26,2018,Q291193,female,Eshoo,400124.0,Anna,Anna,0.0,4.0,D,400124,D,white,True,"Rep. Anna Eshoo [D, 2013-2022]",1942-12-13,Democrat,0.0,True,AnnaEshooD,True,Eshoo,408815.0,True,Anna_Eshoo, Anna Eshoo ,Anna G. Eshoo,catholicism,"41.675,-72.78722",0.0,1.0,1.0,1.0,1.0,1.0,,0.0
