pageid,party_x,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018
9140038,D,Q3577073,Julia_Brownley,Julia Brownley,female,white,,1952-08-28,,"33.54944,-81.72056",,4,True,True,True,True,Julia,Brownley,JuliaBrownleyD,D,0.0,0.0,0.0,396.0,D,0.0,0.0,0.0,396.0
7197854,D,Q460035,Judy_Chu,Judy Chu,female,asian,,1953-07-07,,"34.05,-118.25",,4,True,True,True,True,Judy,Chu,JudyChuD,,,,,,,,,,
408932,D,Q350843,Adam_Schiff,Adam Schiff,male,white,judaism,1960-06-22,,"42.27917,-71.41667",,4,True,True,True,True,Adam,Schiff,AdamSchiffD,D,0.0,0.0,0.0,5.0,D,0.0,0.0,0.0,5.0
4680057,D,Q3620422,Tony_Cárdenas,Tony Cardenas,male,hispanic,,1963-03-31,,"34.2625,-118.42611",,4,True,True,True,True,Tony,Cardenas,TonyCardenasD,,,,,,,,,,
408917,D,Q672919,Brad_Sherman,Brad Sherman,male,white,judaism,1954-10-24,,"34.04917,-118.13556",,4,True,True,True,True,Brad,Sherman,BradShermanD,,,,,,,,,,
409037,D,Q469139,Grace_Napolitano,Grace Napolitano,female,hispanic,catholicism,1936-12-04,,"25.93028,-97.48444",,4,True,True,True,True,Grace,Napolitano,GraceNapolitanoD,,,,,,,,,,
4908339,D,Q3701994,Raul_Ruiz_(politician),Raul Ruiz,male,hispanic,,1972-08-25,,"22.77167,-102.57528",,4,True,True,True,True,Raul,Ruiz,RaulRuizD,,,,,,,,,,
8722536,D,Q461739,Karen_Bass,Karen Bass,female,black,,1953-10-03,,"34.05,-118.25",,4,True,True,True,True,Karen,Bass,KarenBassD,,,,,,,,,,
409644,D,Q291143,Linda_Sánchez,Linda Sánchez,female,hispanic,catholicism,1969-01-28,,"33.80306,-117.8325",,4,True,True,True,True,Linda,Sánchez,LindaSánchezD,,,,,,,,,,
409003,D,Q469115,Lucille_Roybal-Allard,Lucille Roybal-Allard,female,hispanic,catholicism,1941-06-12,,"34.03389,-118.20444",,4,True,True,True,True,Lucille,Roybal-Allard,LucilleRoybal-AllardD,,,,,,,,,,
37017445,D,Q399593,Mark_Takano,Mark Takano,male,asian,,1960-12-10,,"33.94806,-117.39613",,4,True,True,True,True,Mark,Takano,MarkTakanoD,,,,,,,,,,
409679,R,Q538978,Ken_Calvert,Ken Calvert,male,white,protestantism,1953-06-08,,"33.86667,-117.56667",,4,True,True,True,True,Ken,Calvert,KenCalvertR,,,,,,,,,,
409013,D,Q461727,Maxine_Waters,Maxine Waters,female,black,catholicism,1938-08-15,,"38.74028,-90.32306",,4,True,True,True,True,Maxine,Waters,MaxineWatersD,,,,,,,,,,
8792865,D,Q3740782,Alan_Lowenthal,Alan Lowenthal,male,white,,1941-03-08,,"40.72833,-73.99417",,4,True,True,True,True,Alan,Lowenthal,AlanLowenthalD,,,,,,,,,,
17910806,R,Q540521,Duncan_D._Hunter,Duncan Hunter,male,white,protestantism baptist,1976-12-07,,"32.715,-117.1625",,4,True,True,True,True,Duncan,Hunter,DuncanHunterR,,,,,,,,,,
2359039,D,Q3791701,Juan_Vargas,Juan Vargas,male,hispanic,catholicism,1961-03-07,,"32.67806,-117.09917",,4,True,True,True,True,Juan,Vargas,JuanVargasD,,,,,,,,,,
11933452,D,Q3791514,Scott_Peters_(politician),Scott Peters,male,white,,1958-06-17,,"39.92694,-83.80417",,4,True,True,True,True,Scott,Peters,ScottPetersD,,,,,,,,,,
409734,D,Q460675,Susan_Davis_(politician),Susan Davis,female,white,judaism,1944-04-13,,"42.375,-71.10611",,4,True,True,True,True,Susan,Davis,SusanDavisD,,,,,,,,,,
410119,D,Q437159,Diana_DeGette,Diana DeGette,female,white,protestantism reformed,1957-07-29,,"35.69389,139.41944",,4,True,True,True,True,Diana,DeGette,DianaDeGetteD,,,,,,,,,,
4176183,R,Q782994,Scott_Tipton,Scott Tipton,male,white,,1956-11-09,,"36.00194,-106.06472",,4,True,True,True,True,Scott,Tipton,ScottTiptonR,,,,,,,,,,
6144369,R,Q371106,Doug_Lamborn,Doug Lamborn,male,white,,1954-05-24,,"39.3111,-94.9225",,4,True,True,True,True,Doug,Lamborn,DougLambornR,,,,,,,,,,
2564157,D,Q331507,Ed_Perlmutter,Ed Perlmutter,male,white,,1953-05-01,,"39.73917,-104.98472",,4,True,True,True,True,Ed,Perlmutter,EdPerlmutterD,,,,,,,,,,
410165,D,Q357832,John_B._Larson,John Larson,male,white,catholicism,1948-07-22,,"41.76333,-72.685",,4,True,True,True,True,John,Larson,JohnLarsonD,,,,,,,,,,
2274386,D,Q434470,Joe_Courtney_(politician),Joe Courtney,male,white,catholicism,1953-04-06,,"41.76333,-72.685",,4,True,True,True,True,Joe,Courtney,JoeCourtneyD,,,,,,,,,,
410173,D,Q434952,Rosa_DeLauro,Rosa L. DeLauro,female,white,catholicism,1943-03-02,,"41.30833,-72.925",,4,True,True,True,True,Rosa,DeLauro,RosaDeLauroD,,,,,,,,,,
16126047,D,Q1689111,Jim_Himes,Jim Himes,male,white,,1966-07-05,,"-12.05,-77.03333",,4,True,True,True,True,Jim,Himes,JimHimesD,D,0.0,1000.0,0.0,0.0,D,0.0,1000.0,0.0,0.0
35461981,R,Q3090476,Ted_Yoho,Ted Yoho,male,white,catholicism,1955-04-13,,"44.9733,-93.2643",,4,True,True,True,True,Ted,Yoho,TedYohoR,,,,,,,,,,
9255511,R,Q862373,Bill_Posey,Bill Posey,male,white,protestantism methodist,1947-12-18,,"38.895,-77.03667",,4,True,True,True,True,Bill,Posey,BillPoseyR,,,,,,,,,,
13719578,R,Q1163099,Daniel_Webster_(Florida_politician),Daniel Webster,male,white,,1949-04-27,,"38.34722,-81.63333",,4,True,True,True,True,Daniel,Webster,DanielWebsterR,,,,,,,,,,
5648306,R,Q1555314,Gus_Bilirakis,Gus Bilirakis,male,white,orthodox eastern,1963-02-08,,"29.66528,-82.33611",,4,True,True,True,True,Gus,Bilirakis,GusBilirakisR,,,,,,,,,,
5508806,D,Q458492,Kathy_Castor,Kathy Castor,female,white,,1966-08-20,,"25.78333,-80.21667",,4,True,True,True,True,Kathy,Castor,KathyCastorD,,,,,,,,,,
6870542,R,Q2517229,Vern_Buchanan,Vern Buchanan,male,white,,1951-05-08,,"42.33167,-83.0475",,4,True,True,True,True,Vern,Buchanan,VernBuchananR,,,,,,,,,,
411264,D,Q1758631,Alcee_Hastings,Alcee L. Hastings,male,black,protestantism methodist,1936-09-05,,"28.66139,-81.39194",,4,True,True,True,True,Alcee,Hastings,AlceeHastingsD,,,,,,,,,,
13719052,D,Q245724,Ted_Deutch,Ted Deutch,male,white,,1966-05-07,,"40.62611,-75.37556",,4,True,True,True,True,Ted,Deutch,TedDeutchD,D,0.0,2600.0,0.0,0.0,D,0.0,2600.0,0.0,0.0
31254090,D,Q3182451,Lois_Frankel,Lois Frankel,female,white,,1948-05-17,,"40.67,-73.94",,4,True,True,True,True,Lois,Frankel,LoisFrankelD,,,,,,,,,,
1164072,D,Q50104,Debbie_Wasserman_Schultz,Debbie Wasserman Schultz,female,white,judaism,1966-09-27,,"40.71611,-73.85",,4,True,True,True,True,Debbie,Schultz,DebbieSchultzD,D,0.0,0.0,550.0,500.0,D,0.0,0.0,550.0,500.0
13719198,D,Q461504,Frederica_Wilson,Frederica Wilson,female,black,,1942-11-05,,"25.78333,-80.21667",,4,True,True,True,True,Frederica,Wilson,FredericaWilsonD,,,,,,,,,,
411276,R,Q767270,Mario_Díaz-Balart,Mario Diaz-Balart,male,hispanic,catholicism,1961-09-25,,"26.13583,-80.14194",,4,True,True,True,True,Mario,Diaz-Balart,MarioDiaz-BalartR,,,,,,,,,,
