person_x,name,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,ID_NameParty,first,last,party_x,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,disney_donations2012,disney_donations2014,disney_donations2016,disney_donations2018,person_y,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
400081,"Rep. Jim Cooper [D, 2003-2022]",0.5,0.8,0.42857142857142855,1.0,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,D, Jim Cooper ,Cooper,Jim,JimCooperD,Jim,Cooper,D,960988.0,Q973737,Jim_Cooper,Jim Cooper,male,white,anglicanism,1954-06-19,,"36.165,-86.78389",,4.0,True,True,True,True,,,,,400081.0,Democrat,0.25,1.0,0.8,1.0
400087,"Rep. Joseph “Joe” Crowley [D, 2013-2018]",0.5,0.8,0.2857142857142857,,0.6666666666666666,0.3333333333333333,,,0.8571428571428571,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,,D, Joseph “Joe” Crowley ,Crowley,Joseph,JosephCrowleyD,,,,,,,,,,,,,,,,,,,,,,,,400087.0,Democrat,0.5,0.3333333333333333,0.4,
400090,"Rep. Elijah Cummings [D, 1996-2019]",0.3333333333333333,0.8,0.14285714285714285,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.25,1.0,0.6666666666666666,0.25,0.3333333333333333,1.0,D, Elijah Cummings ,Cummings,Elijah,ElijahCummingsD,Elijah,Cummings,D,414574.0,Q934898,Elijah_Cummings,Elijah Cummings,male,black,protestantism baptist,1951-01-18,,"39.28639,-76.615",,4.0,True,True,True,True,0.0,0.0,0.0,3700.0,400090.0,Democrat,0.25,0.3333333333333333,0.4,
400090,"Rep. Elijah Cummings [D, 1996-2019]",0.3333333333333333,0.8,0.14285714285714285,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.25,1.0,0.6666666666666666,0.25,0.3333333333333333,1.0,D, Elijah Cummings ,Cummings,Elijah,ElijahCummingsD,Elijah,Cummings,D,414574.0,Q934898,Elijah_Cummings,Elijah Cummings,male,black,protestantism baptist,1951-01-18,,"39.28639,-76.615",,4.0,True,True,True,True,0.0,0.0,0.0,3700.0,400090.0,,,,,
400093,"Rep. Danny Davis [D, 1997-2022]",0.16666666666666666,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Danny Davis ,Davis,Danny,DannyDavisD,Danny,Davis,D,412062.0,Q1164657,Danny_K._Davis,Danny K. Davis,male,black,protestantism baptist,1941-09-06,,"33.12167,-91.5475",,4.0,True,True,True,True,,,,,400093.0,Democrat,0.0,0.0,0.2,1.0
400097,"Rep. Susan Davis [D, 2003-2020]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Susan Davis ,Davis,Susan,SusanDavisD,Susan,Davis,D,409734.0,Q460675,Susan_Davis_(politician),Susan Davis,female,white,judaism,1944-04-13,,"42.375,-71.10611",,4.0,True,True,True,True,,,,,400097.0,Democrat,0.5,0.3333333333333333,0.8,1.0
400100,"Rep. Peter DeFazio [D, 1987-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,1.0,0.5714285714285714,0.4,0.25,1.0,0.6666666666666666,0.75,0.3333333333333333,1.0,D, Peter DeFazio ,DeFazio,Peter,PeterDeFazioD,Peter,DeFazio,D,699474.0,Q1758507,Peter_DeFazio,Peter A. DeFazio,male,white,catholicism,1947-05-27,,"42.28333,-71.23333",,4.0,True,True,True,True,,,,,400100.0,Democrat,0.0,0.3333333333333333,0.8,1.0
400101,"Rep. Diana DeGette [D, 1997-2022]",0.5,0.8,0.14285714285714285,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Diana DeGette ,DeGette,Diana,DianaDeGetteD,Diana,DeGette,D,410119.0,Q437159,Diana_DeGette,Diana DeGette,female,white,protestantism reformed,1957-07-29,,"35.69389,139.41944",,4.0,True,True,True,True,0.0,1000.0,0.0,0.0,400101.0,Democrat,0.0,0.3333333333333333,0.6,1.0
400103,"Rep. Rosa DeLauro [D, 1991-2022]",0.3333333333333333,0.8,0.14285714285714285,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.4,0.0,1.0,0.3333333333333333,0.25,0.0,0.6666666666666666,D, Rosa DeLauro ,DeLauro,Rosa,RosaDeLauroD,Rosa,DeLauro,D,410173.0,Q434952,Rosa_DeLauro,Rosa L. DeLauro,female,white,catholicism,1943-03-02,,"41.30833,-72.925",,4.0,True,True,True,True,0.0,0.0,0.0,80.0,400103.0,Democrat,0.0,0.3333333333333333,0.8,1.0
400110,"Rep. John Dingell [D, 2013-2014]",0.3333333333333333,,,,0.6666666666666666,,,,0.5714285714285714,,,1.0,0.0,,,,D, John Dingell ,Dingell,John,JohnDingellD,,,,,,,,,,,,,,,,,,,,,,,,400110.0,Democrat,0.25,,,
