person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
42,2018-01-01,D,0.0,1.0,,0.8666,TESTING,1
43,2018-01-01,D,1177.0,1.0,,0.9274,TESTING,1
43,2012-01-01,D,0.0,0.0,0.0,0.9274,TESTING,1
43,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9274,TESTING,1
43,2016-01-01,D,0.0,0.6,1177.0,0.9274,TESTING,1
45,2018-01-01,D,3061.0,0.5,,0.2558,TRAINING,1
45,2016-01-01,D,0.0,0.6,3061.0,0.2558,TRAINING,1
45,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2558,TRAINING,1
45,2012-01-01,D,0.0,0.0,0.0,0.2558,TRAINING,1
46,2018-01-01,D,0.0,0.5,,0.7849,TESTING,1
46,2012-01-01,D,0.0,0.0,0.0,0.7849,TESTING,1
46,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7849,TESTING,1
46,2016-01-01,D,0.0,0.4,0.0,0.7849,TESTING,1
47,2016-01-01,D,0.0,0.8,0.0,0.2047,TRAINING,1
47,2018-01-01,D,0.0,1.0,,0.2047,TRAINING,1
47,2012-01-01,D,0.0,0.5,0.0,0.2047,TRAINING,1
47,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2047,TRAINING,1
48,2016-01-01,D,0.0,0.8,0.0,0.2747,TRAINING,1
48,2018-01-01,D,0.0,1.0,,0.2747,TRAINING,1
48,2012-01-01,D,0.0,0.25,0.0,0.2747,TRAINING,1
48,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2747,TRAINING,1
49,2018-01-01,D,0.0,1.0,,0.9167,TESTING,1
49,2016-01-01,D,0.0,0.6,0.0,0.9167,TESTING,1
49,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9167,TESTING,1
49,2012-01-01,D,0.0,0.25,0.0,0.9167,TESTING,1
52,2012-01-01,D,0.0,0.0,0.0,0.9998,TESTING,1
52,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9998,TESTING,1
52,2016-01-01,D,0.0,0.8,0.0,0.9998,TESTING,1
52,2018-01-01,D,0.0,1.0,,0.9998,TESTING,1
56,2012-01-01,D,0.0,0.5,0.0,0.0189,TRAINING,1
56,2014-01-01,D,0.0,0.6666666666666666,1000.0,0.0189,TRAINING,1
56,2016-01-01,D,1000.0,1.0,0.0,0.0189,TRAINING,1
56,2018-01-01,D,0.0,1.0,,0.0189,TRAINING,1
60,2016-01-01,D,19250.0,0.8,2500.0,0.2734,TRAINING,1
60,2018-01-01,D,2500.0,1.0,,0.2734,TRAINING,1
60,2012-01-01,D,0.0,0.25,6000.0,0.2734,TRAINING,1
60,2014-01-01,D,6000.0,0.3333333333333333,19250.0,0.2734,TRAINING,1
61,2012-01-01,D,0.0,0.0,0.0,0.3005,TRAINING,1
61,2014-01-01,D,0.0,0.6666666666666666,0.0,0.3005,TRAINING,1
61,2016-01-01,D,0.0,0.6,0.0,0.3005,TRAINING,1
61,2018-01-01,D,0.0,0.5,,0.3005,TRAINING,1
62,2012-01-01,D,1000.0,0.0,2500.0,0.4658,TRAINING,1
62,2014-01-01,D,2500.0,0.3333333333333333,0.0,0.4658,TRAINING,1
62,2016-01-01,D,0.0,0.8,1500.0,0.4658,TRAINING,1
62,2018-01-01,D,1500.0,1.0,,0.4658,TRAINING,1
63,2012-01-01,D,1000.0,0.0,0.0,0.1899,TRAINING,1
63,2014-01-01,D,0.0,0.3333333333333333,7500.0,0.1899,TRAINING,1
63,2016-01-01,D,7500.0,0.6,4500.0,0.1899,TRAINING,1
63,2018-01-01,D,4500.0,1.0,,0.1899,TRAINING,1
