person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
20,2014,1000.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.5578,TESTING
20,2016,0.0,0.6,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,1000.0,1,0,0,0,0,0,0,1,1,0,0.5578,TESTING
20,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.5578,TESTING
21,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,,1,0,0,0,0,0,0,1,1,0,0.8322,TESTING
21,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.8322,TESTING
21,2016,0.0,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,80.0,0.0,1,0,0,0,0,0,0,1,1,0,0.8322,TESTING
21,2018,80.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,,0.0,1,0,0,0,0,0,0,1,1,0,0.8322,TESTING
23,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.1685,TRAINING
23,2012,250.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.1685,TRAINING
23,2014,0.0,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,250.0,0,1,0,0,0,0,0,1,1,0,0.1685,TRAINING
23,2016,0.0,0.4,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.1685,TRAINING
24,2018,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.0769,TRAINING
24,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.0769,TRAINING
24,2012,0.0,0.5,0.5,0.3333333333333333,0.5714285714285714,1.0,0.0,,0,1,0,0,0,0,0,1,1,0,0.0769,TRAINING
24,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.0769,TRAINING
