first,last,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,pageid,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
Mo,Brooks,R,,,,,,,,,27586834.0,Q1941306,Mo_Brooks,Mo Brooks,male,white,,1954-04-29,,"32.77611,-79.9325",,4.0,True,True,True,True
Terri,Sewell,D,,,,,,,,,22136277.0,Q461621,Terri_Sewell,Terri Sewell,female,black,,1965-01-01,,"34.71361,-86.58611",,4.0,True,True,True,True
Don,Young,R,,,,,,,,,407894.0,Q1239590,Don_Young,Don Young,male,white,anglicanism,1933-06-09,,"39.14056,-121.90778",,4.0,True,True,True,True
Raúl,Grijalva,D,,,,,,,,,408529.0,Q946606,Raúl_Grijalva,Raúl M. Grijalva,male,hispanic,catholicism,1948-02-19,,"32.22167,-110.92639",,4.0,True,True,True,True
Paul,Gosar,R,,,,,,,,,28573666.0,Q2059832,Paul_Gosar,Paul Gosar,male,white,,1958-11-27,,"41.585,-109.22139",,4.0,True,True,True,True
David,Schweikert,R,,,,,,,,,16166136.0,Q1176561,David_Schweikert,David Schweikert,male,white,,1962-03-03,,"34.05,-118.25",,4.0,True,True,True,True
Rick,Crawford,R,,,,,,,,,28573959.0,Q2151554,Rick_Crawford_(politician),Rick Crawford,male,white,,1966-01-22,,"25.46872,-80.47756",,4.0,True,True,True,True
Steve,Womack,R,,,,,,,,,28033707.0,Q1029527,Steve_Womack,Steve Womack,male,white,,1957-02-18,,"35.2783,-93.1369",,4.0,True,True,True,True
Doug,LaMalfa,R,,,,,,,,,9434506.0,Q1703840,Doug_LaMalfa,Doug LaMalfa,male,white,,1960-07-02,,"39.51389,-121.3925",,4.0,True,True,True,True
Jared,Huffman,D,,,,,,,,,7432015.0,Q3276717,Jared_Huffman,Jared Huffman,male,white,,1964-02-18,,"39.08333,-94.41667",,4.0,True,True,True,True
John,Garamendi,D,,,,,,,,,1602620.0,Q1340268,John_Garamendi,John Garamendi,male,hispanic,,1945-01-24,,"29.9519,-81.9799",,4.0,True,True,True,True
Tom,McClintock,R,,,,,,,,,295706.0,Q535887,Tom_McClintock,Tom McClintock,male,white,,1956-07-10,,"40.94,-73.82611",,4.0,True,True,True,True
Mike,Thompson,D,,,,,,,,,408609.0,Q1323196,Mike_Thompson_(California_politician),Mike Thompson,male,white,catholicism,1951-01-24,,"38.50278,-122.46972",,4.0,True,True,True,True
Doris,Matsui,D,,,,,,,,,1548355.0,Q399561,Doris_Matsui,Doris Matsui,female,asian,protestantism methodist,1944-09-25,,,,4.0,True,True,True,True
Paul,Cook,R,,,,,,,,,9435059.0,Q3408766,Paul_Cook_(politician),Paul Cook,male,white,,1943-03-03,,"41.53667,-72.79472",,4.0,True,True,True,True
Jerry,McNerney,D,,,,,,,,,2712157.0,Q1344743,Jerry_McNerney,Jerry McNerney,male,white,,1951-06-18,,"35.11667,-106.61667",,4.0,True,True,True,True
Barbara,Lee,D,,,,,,,,,408652.0,Q289317,Barbara_Lee,Barbara Lee,female,white,protestantism baptist,1946-07-16,,"31.79028,-106.42333",,4.0,True,True,True,True
Jackie,Speier,D,,,,,,,,,2070255.0,Q218544,Jackie_Speier,Jackie Speier,female,white,,1950-05-14,,"37.76667,-122.43333",,4.0,True,True,True,True
Jim,Costa,D,,,,,,,,,1162310.0,Q675869,Jim_Costa,Jim Costa,male,white,catholicism,1952-04-13,,"36.78167,-119.79222",,4.0,True,True,True,True
Anna,Eshoo,D,,,,,,,,,408815.0,Q291193,Anna_Eshoo,Anna G. Eshoo,female,white,catholicism,1942-12-13,,"41.675,-72.78722",,4.0,True,True,True,True
Zoe,Lofgren,D,,,,,,,,,408829.0,Q218217,Zoe_Lofgren,Zoe Lofgren,female,white,protestantism lutheran,1947-12-21,,"37.55417,-122.31306",,4.0,True,True,True,True
Devin,Nunes,R,,,,,,,,,408872.0,Q539493,Devin_Nunes,Devin Nunes,male,white,catholicism,1973-10-01,,"36.20667,-119.3425",,4.0,True,True,True,True
Kevin,McCarthy,R,,,,,,,,,2337119.0,Q766866,Kevin_McCarthy_(California_politician),Kevin McCarthy,male,white,,1965-01-26,,"35.40583,-119.01861",,4.0,True,True,True,True
Judy,Chu,D,,,,,,,,,7197854.0,Q460035,Judy_Chu,Judy Chu,female,asian,,1953-07-07,,"34.05,-118.25",,4.0,True,True,True,True
Tony,Cardenas,D,,,,,,,,,4680057.0,Q3620422,Tony_Cárdenas,Tony Cardenas,male,hispanic,,1963-03-31,,"34.2625,-118.42611",,4.0,True,True,True,True
Brad,Sherman,D,,,,,,,,,408917.0,Q672919,Brad_Sherman,Brad Sherman,male,white,judaism,1954-10-24,,"34.04917,-118.13556",,4.0,True,True,True,True
Grace,Napolitano,D,,,,,,,,,409037.0,Q469139,Grace_Napolitano,Grace Napolitano,female,hispanic,catholicism,1936-12-04,,"25.93028,-97.48444",,4.0,True,True,True,True
Raul,Ruiz,D,,,,,,,,,4908339.0,Q3701994,Raul_Ruiz_(politician),Raul Ruiz,male,hispanic,,1972-08-25,,"22.77167,-102.57528",,4.0,True,True,True,True
Karen,Bass,D,,,,,,,,,8722536.0,Q461739,Karen_Bass,Karen Bass,female,black,,1953-10-03,,"34.05,-118.25",,4.0,True,True,True,True
Linda,Sánchez,D,,,,,,,,,409644.0,Q291143,Linda_Sánchez,Linda Sánchez,female,hispanic,catholicism,1969-01-28,,"33.80306,-117.8325",,4.0,True,True,True,True
Lucille,Roybal-Allard,D,,,,,,,,,409003.0,Q469115,Lucille_Roybal-Allard,Lucille Roybal-Allard,female,hispanic,catholicism,1941-06-12,,"34.03389,-118.20444",,4.0,True,True,True,True
Mark,Takano,D,,,,,,,,,37017445.0,Q399593,Mark_Takano,Mark Takano,male,asian,,1960-12-10,,"33.94806,-117.39613",,4.0,True,True,True,True
Ken,Calvert,R,,,,,,,,,409679.0,Q538978,Ken_Calvert,Ken Calvert,male,white,protestantism,1953-06-08,,"33.86667,-117.56667",,4.0,True,True,True,True
Maxine,Waters,D,,,,,,,,,409013.0,Q461727,Maxine_Waters,Maxine Waters,female,black,catholicism,1938-08-15,,"38.74028,-90.32306",,4.0,True,True,True,True
Alan,Lowenthal,D,,,,,,,,,8792865.0,Q3740782,Alan_Lowenthal,Alan Lowenthal,male,white,,1941-03-08,,"40.72833,-73.99417",,4.0,True,True,True,True
Duncan,Hunter,R,,,,,,,,,17910806.0,Q540521,Duncan_D._Hunter,Duncan Hunter,male,white,protestantism baptist,1976-12-07,,"32.715,-117.1625",,4.0,True,True,True,True
Juan,Vargas,D,,,,,,,,,2359039.0,Q3791701,Juan_Vargas,Juan Vargas,male,hispanic,catholicism,1961-03-07,,"32.67806,-117.09917",,4.0,True,True,True,True
Scott,Peters,D,,,,,,,,,11933452.0,Q3791514,Scott_Peters_(politician),Scott Peters,male,white,,1958-06-17,,"39.92694,-83.80417",,4.0,True,True,True,True
Susan,Davis,D,,,,,,,,,409734.0,Q460675,Susan_Davis_(politician),Susan Davis,female,white,judaism,1944-04-13,,"42.375,-71.10611",,4.0,True,True,True,True
Diana,DeGette,D,,,,,,,,,410119.0,Q437159,Diana_DeGette,Diana DeGette,female,white,protestantism reformed,1957-07-29,,"35.69389,139.41944",,4.0,True,True,True,True
Scott,Tipton,R,,,,,,,,,4176183.0,Q782994,Scott_Tipton,Scott Tipton,male,white,,1956-11-09,,"36.00194,-106.06472",,4.0,True,True,True,True
