person,name,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio
400347,"Rep. Lucille Roybal-Allard [D, 2013-2022]",0.0,0.3333333333333333,0.6,0.5
400349,"Rep. A. Dutch Ruppersberger [D, 2003-2022]",0.5,0.3333333333333333,0.8,1.0
400350,"Rep. Bobby Rush [D, 1993-2022]",0.0,0.3333333333333333,0.6,1.0
400352,"Rep. Tim Ryan [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
400355,"Rep. Linda Sánchez [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
400356,"Rep. Loretta Sanchez [D, 2013-2016]",0.0,0.3333333333333333,,
400360,"Rep. Janice “Jan” Schakowsky [D, 1999-2022]",0.0,0.3333333333333333,0.6,1.0
400361,"Rep. Adam Schiff [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
400363,"Rep. David Scott [D, 2003-2022]",0.5,0.6666666666666666,0.8,1.0
400364,"Rep. Robert “Bobby” Scott [D, 1993-2022]",0.25,0.3333333333333333,0.8,1.0
400366,"Rep. José Serrano [D, 2013-2020]",0.0,0.3333333333333333,0.6,0.5
400371,"Rep. Brad Sherman [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
400378,"Rep. Louise Slaughter [D, 2013-2018]",0.0,0.3333333333333333,,
400379,"Rep. Adam Smith [D, 1997-2022]",0.0,0.6666666666666666,0.6,1.0
400402,"Rep. Bennie Thompson [D, 1993-2022]",0.5,0.3333333333333333,0.6,1.0
400403,"Rep. Mike Thompson [D, 2013-2022]",0.5,0.3333333333333333,0.6,1.0
400407,"Rep. John Tierney [D, 1997-2014]",0.0,,,
400415,"Rep. Chris Van Hollen [D, 2003-2016]",0.0,0.3333333333333333,,
400416,"Rep. Nydia Velázquez [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
400417,"Rep. Peter Visclosky [D, 1985-2020]",0.25,0.3333333333333333,0.6,1.0
400422,"Rep. Maxine Waters [D, 2013-2022]",0.0,0.3333333333333333,0.8,1.0
400425,"Rep. Henry Waxman [D, 2013-2014]",0.0,,,
400616,"Rep. George “G.K.” Butterfield Jr. [D, 2004-2022]",0.25,0.6666666666666666,0.6,1.0
400618,"Rep. Jim Costa [D, 2013-2022]",0.75,0.6666666666666666,0.8,1.0
400623,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
400628,"Rep. John Barrow [D, 2005-2014]",0.75,,,
400630,"Rep. Daniel Lipinski [D, 2005-2020]",0.75,0.3333333333333333,0.8,0.5
400639,"Rep. Emanuel Cleaver II [D, 2005-2022]",0.25,0.0,1.0,1.0
400641,"Rep. Brian Higgins [D, 2013-2022]",0.25,0.3333333333333333,0.8,1.0
400647,"Rep. Allyson Schwartz [D, 2005-2014]",0.5,,,
400653,"Rep. Al Green [D, 2005-2022]",0.0,0.3333333333333333,0.8,1.0
400657,"Rep. Henry Cuellar [D, 2005-2022]",0.75,0.6666666666666666,0.8,1.0
400661,"Rep. Gwen Moore [D, 2005-2022]",0.0,0.3333333333333333,0.4,1.0
400663,"Rep. Doris Matsui [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
408211,"Rep. Richard Nolan [D, 2013-2018]",0.5,0.3333333333333333,0.6,
412186,"Rep. Albio Sires [D, 2013-2022]",0.0,0.3333333333333333,0.8,1.0
412189,"Rep. Jerry McNerney [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
412192,"Rep. Ed Perlmutter [D, 2007-2022]",0.75,0.0,0.8,1.0
412193,"Rep. Joe Courtney [D, 2007-2022]",0.0,0.3333333333333333,0.8,1.0
412195,"Rep. Kathy Castor [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
412199,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2022]",0.25,0.3333333333333333,0.6,1.0
412208,"Rep. Bruce Braley [D, 2007-2014]",0.25,,,
412209,"Rep. David Loebsack [D, 2007-2020]",0.5,0.3333333333333333,0.8,1.0
412211,"Rep. John Yarmuth [D, 2007-2022]",0.25,0.3333333333333333,0.6,1.0
412212,"Rep. John Sarbanes [D, 2007-2022]",0.0,0.3333333333333333,0.8,1.0
412214,"Rep. Timothy Walz [D, 2007-2018]",0.5,0.3333333333333333,0.4,
412215,"Rep. Keith Ellison [D, 2007-2018]",0.0,0.3333333333333333,0.4,
412219,"Rep. Carol Shea-Porter [D, 2013-2014]",0.25,,,
412221,"Rep. Yvette Clarke [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412236,"Rep. Steve Cohen [D, 2007-2022]",0.25,0.3333333333333333,0.6,1.0
412239,"Rep. Peter Welch [D, 2007-2022]",0.25,0.3333333333333333,0.8,1.0
412254,"Rep. Niki Tsongas [D, 2013-2018]",0.0,0.3333333333333333,0.8,
412257,"Rep. Bill Foster [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
412258,"Rep. André Carson [D, 2008-2022]",0.25,0.3333333333333333,0.8,1.0
412259,"Rep. Jackie Speier [D, 2013-2022]",0.0,0.3333333333333333,0.4,1.0
412263,"Rep. Donna Edwards [D, 2008-2016]",0.0,0.6666666666666666,,
412272,"Rep. Gerald Connolly [D, 2009-2022]",0.25,0.3333333333333333,0.8,1.0
412276,"Rep. Alan Grayson [D, 2013-2016]",0.25,0.3333333333333333,,
412282,"Rep. James Himes [D, 2009-2022]",0.5,0.3333333333333333,0.8,1.0
412286,"Rep. Ann Kirkpatrick [D, 2013-2016]",0.5,0.6666666666666666,,
412293,"Rep. Ben Luján [D, 2009-2020]",0.25,0.3333333333333333,0.6,1.0
412297,"Rep. Daniel Maffei [D, 2013-2014]",0.5,,,
412305,"Rep. Gary Peters [D, 2013-2014]",0.5,,,
412307,"Rep. Chellie Pingree [D, 2009-2022]",0.0,0.3333333333333333,0.6,1.0
412308,"Rep. Jared Polis [D, 2009-2018]",0.5,0.3333333333333333,0.2,
412315,"Rep. Kurt Schrader [D, 2009-2022]",0.5,0.3333333333333333,0.8,0.5
412318,"Rep. Dina Titus [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
412319,"Rep. Paul Tonko [D, 2013-2022]",0.25,0.3333333333333333,0.8,1.0
412327,"Rep. Marcia Fudge [D, 2008-2021]",0.25,0.3333333333333333,0.8,1.0
412331,"Rep. Mike Quigley [D, 2009-2022]",0.25,0.3333333333333333,0.8,1.0
412379,"Rep. Judy Chu [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
412382,"Rep. John Garamendi [D, 2013-2022]",0.75,0.3333333333333333,0.8,1.0
412383,"Rep. William Owens [D, 2013-2014]",0.75,,,
412385,"Rep. Theodore “Ted” Deutch [D, 2013-2016]",0.25,0.3333333333333333,,
412396,"Rep. Terri Sewell [D, 2011-2022]",0.75,0.3333333333333333,0.8,1.0
412404,"Rep. Karen Bass [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412407,"Rep. John Carney [D, 2011-2016]",0.5,0.3333333333333333,,
412412,"Rep. Frederica Wilson [D, 2013-2022]",0.25,0.3333333333333333,0.8,0.5
412418,"Rep. Colleen Hanabusa [D, 2011-2014]",0.0,,,
412432,"Rep. Cedric Richmond [D, 2011-2021]",0.5,0.3333333333333333,0.6,1.0
412435,"Rep. William Keating [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
412470,"Rep. David Cicilline [D, 2011-2022]",0.0,0.3333333333333333,0.8,1.0
412498,"Rep. Janice Hahn [D, 2013-2016]",0.0,0.3333333333333333,,
412501,"Rep. Suzanne Bonamici [D, 2012-2022]",0.0,0.3333333333333333,0.8,1.0
412502,"Rep. Ron Barber [D, 2013-2014]",0.75,,,
412505,"Rep. Suzan DelBene [D, 2012-2022]",0.25,0.3333333333333333,0.8,1.0
412506,"Rep. Donald Payne Jr. [D, 2012-2022]",0.0,0.3333333333333333,0.6,1.0
412509,"Rep. Kyrsten Sinema [D, 2013-2018]",0.75,0.6666666666666666,0.8,
412511,"Rep. Jared Huffman [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412512,"Rep. Ami Bera [D, 2013-2022]",0.5,0.6666666666666666,0.8,1.0
412514,"Rep. Eric Swalwell [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412516,"Rep. Julia Brownley [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
412517,"Rep. Tony Cárdenas [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412518,"Rep. Gloria Negrete McLeod [D, 2013-2014]",0.5,,,
412519,"Rep. Raul Ruiz [D, 2013-2022]",0.5,0.6666666666666666,0.8,1.0
412520,"Rep. Mark Takano [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412521,"Rep. Alan Lowenthal [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412522,"Rep. Juan Vargas [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412523,"Rep. Scott Peters [D, 2013-2022]",0.5,0.6666666666666666,0.8,1.0
412524,"Rep. Elizabeth Esty [D, 2013-2018]",0.25,0.3333333333333333,0.8,
412527,"Rep. Patrick Murphy [D, 2013-2016]",0.75,0.6666666666666666,,
412529,"Rep. Lois Frankel [D, 2013-2016]",0.25,0.3333333333333333,,
412530,"Rep. Joe Garcia [D, 2013-2014]",0.25,,,
412532,"Rep. Tulsi Gabbard [D, 2013-2020]",0.0,0.3333333333333333,0.8,1.0
412533,"Rep. Tammy Duckworth [D, 2013-2016]",0.5,0.3333333333333333,,
412534,"Rep. Bradley “Brad” Schneider [D, 2013-2014]",0.5,,,
412535,"Rep. William Enyart [D, 2013-2014]",0.5,,,
412537,"Rep. Cheri Bustos [D, 2013-2022]",0.75,0.3333333333333333,0.8,1.0
412543,"Rep. Joseph Kennedy III [D, 2013-2020]",0.0,0.3333333333333333,0.6,1.0
412544,"Rep. John Delaney [D, 2013-2018]",0.5,0.3333333333333333,0.8,
412546,"Rep. Daniel Kildee [D, 2013-2022]",0.0,0.3333333333333333,0.8,1.0
412557,"Rep. Ann Kuster [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
412558,"Rep. Michelle Lujan Grisham [D, 2013-2018]",0.25,0.3333333333333333,0.4,
412559,"Rep. Steven Horsford [D, 2013-2014]",0.75,,,
412560,"Rep. Grace Meng [D, 2013-2022]",0.25,0.3333333333333333,0.8,1.0
412561,"Rep. Hakeem Jeffries [D, 2013-2022]",0.0,0.3333333333333333,0.8,1.0
412562,"Rep. Sean Maloney [D, 2013-2022]",0.75,0.3333333333333333,0.6,1.0
412565,"Rep. Joyce Beatty [D, 2013-2022]",0.25,0.3333333333333333,0.8,1.0
412571,"Rep. Matthew “Matt” Cartwright [D, 2013-2018]",0.25,0.3333333333333333,0.8,
412575,"Rep. Beto O’Rourke [D, 2013-2018]",0.25,0.3333333333333333,0.8,
412576,"Rep. Joaquin Castro [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412577,"Rep. Pete Gallego [D, 2013-2014]",0.75,,,
412579,"Rep. Marc Veasey [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
412580,"Rep. Filemon Vela [D, 2013-2022]",0.25,0.3333333333333333,0.6,1.0
412583,"Rep. Derek Kilmer [D, 2013-2022]",0.5,0.3333333333333333,0.8,1.0
412584,"Rep. Denny Heck [D, 2013-2020]",0.0,0.3333333333333333,0.8,1.0
412585,"Rep. Mark Pocan [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
412595,"Rep. Robin Kelly [D, 2013-2022]",0.25,0.6666666666666666,0.8,1.0
412600,"Rep. Katherine Clark [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
400004,"Rep. Robert Aderholt [R, 1997-2022]",1.0,0.6666666666666666,0.8,0.0
400010,"Rep. Spencer Bachus III [R, 1993-2014]",0.75,,,
400018,"Rep. Joe Barton [R, 1985-2018]",0.5,0.6666666666666666,0.2,
400029,"Rep. Rob Bishop [R, 2003-2020]",1.0,0.6666666666666666,0.6,0.0
400032,"Rep. Marsha Blackburn [R, 2003-2018]",0.5,0.6666666666666666,0.6,
400046,"Rep. Kevin Brady [R, 1997-2022]",0.5,0.6666666666666666,0.8,0.0
400052,"Rep. Michael Burgess [R, 2003-2022]",0.5,0.6666666666666666,0.8,0.0
400057,"Rep. Ken Calvert [R, 2013-2022]",0.75,0.6666666666666666,0.8,0.0
400058,"Rep. Dave Camp [R, 1993-2014]",0.75,,,
400060,"Rep. Eric Cantor [R, 2001-2014]",,,,
400061,"Rep. Shelley Capito [R, 2001-2014]",0.5,,,
400068,"Rep. John Carter [R, 2003-2022]",0.75,0.6666666666666666,0.8,0.0
400071,"Rep. Steve Chabot [R, 2011-2022]",0.75,0.6666666666666666,0.6,0.0
400076,"Rep. Howard Coble [R, 1985-2014]",0.75,,,
400077,"Rep. Tom Cole [R, 2003-2022]",0.75,0.6666666666666666,0.8,0.0
400086,"Rep. Ander Crenshaw [R, 2001-2016]",0.75,0.6666666666666666,,
400089,"Rep. John Culberson [R, 2001-2018]",0.75,0.6666666666666666,0.8,
400108,"Rep. Mario Diaz-Balart [R, 2013-2022]",0.75,1.0,0.8,0.0
400116,"Rep. John “Jimmy” Duncan Jr. [R, 1988-2018]",0.25,0.6666666666666666,0.2,
400137,"Rep. Randy Forbes [R, 2001-2016]",0.75,0.6666666666666666,,
400141,"Rep. Trent Franks [R, 2013-2017]",0.25,0.6666666666666666,,
400142,"Rep. Rodney Frelinghuysen [R, 1995-2018]",0.75,0.6666666666666666,0.6,
400145,"Rep. Scott Garrett [R, 2003-2016]",0.5,0.6666666666666666,,
400147,"Rep. Jim Gerlach [R, 2003-2014]",0.75,,,
400151,"Rep. Phil Gingrey [R, 2003-2014]",0.5,,,
400154,"Rep. Bob Goodlatte [R, 1993-2018]",0.75,0.6666666666666666,0.8,
400157,"Rep. Kay Granger [R, 1997-2022]",0.75,0.6666666666666666,0.8,0.0
400158,"Rep. Sam Graves [R, 2001-2022]",0.75,0.6666666666666666,0.6,0.0
400165,"Rep. Ralph Hall [R, 1981-2014]",0.75,,,
400171,"Rep. Doc Hastings [R, 1995-2014]",0.75,,,
400175,"Rep. Jeb Hensarling [R, 2003-2018]",0.5,0.6666666666666666,0.6,
400196,"Rep. Darrell Issa [R, 2003-2018]",0.75,0.6666666666666666,0.8,
400206,"Rep. Sam Johnson [R, 1991-2018]",0.5,0.6666666666666666,0.6,
400209,"Rep. Walter Jones Jr. [R, 1995-2019]",0.25,0.3333333333333333,0.6,
400219,"Rep. Peter “Pete” King [R, 2013-2020]",0.75,0.6666666666666666,0.8,0.5
400220,"Rep. Steve King [R, 2013-2020]",0.5,0.3333333333333333,0.6,0.0
400221,"Rep. Jack Kingston [R, 1993-2014]",0.75,,,
400224,"Rep. John Kline [R, 2003-2016]",0.75,0.6666666666666666,,
400234,"Rep. Tom Latham [R, 2013-2014]",0.75,,,
400244,"Rep. Frank LoBiondo [R, 1995-2018]",0.75,0.6666666666666666,0.8,
400247,"Rep. Frank Lucas [R, 2003-2022]",0.75,0.6666666666666666,0.8,0.0
400267,"Rep. Howard “Buck” McKeon [R, 1993-2014]",1.0,,,
400273,"Rep. John Mica [R, 1993-2016]",0.75,0.6666666666666666,,
400276,"Rep. Candice Miller [R, 2003-2016]",0.75,0.3333333333333333,,
400277,"Rep. Gary Miller [R, 2013-2014]",0.25,,,
400279,"Rep. Jeff Miller [R, 2001-2016]",0.5,0.6666666666666666,,
400285,"Rep. Tim Murphy [R, 2003-2017]",0.75,0.6666666666666666,,
400297,"Rep. Devin Nunes [R, 2013-2022]",0.75,0.6666666666666666,0.8,0.0
400313,"Rep. Stevan “Steve” Pearce [R, 2011-2018]",0.75,0.6666666666666666,0.6,
400318,"Rep. Thomas “Tom” Petri [R, 1979-2014]",0.5,,,
400320,"Rep. Joseph Pitts [R, 1997-2016]",0.5,0.6666666666666666,,
400340,"Rep. Harold “Hal” Rogers [R, 1981-2022]",0.75,0.6666666666666666,0.8,0.0
400341,"Rep. Mike Rogers [R, 2003-2022]",0.5,1.0,0.6,0.5
400342,"Rep. Mike Rogers [R, 2001-2014]",0.75,,,
400343,"Rep. Dana Rohrabacher [R, 2013-2018]",0.5,0.6666666666666666,0.6,
400344,"Rep. Ileana Ros-Lehtinen [R, 2013-2018]",0.5,0.6666666666666666,0.6,
400348,"Rep. Edward “Ed” Royce [R, 2013-2018]",0.75,0.6666666666666666,0.8,
400351,"Rep. Paul Ryan [R, 1999-2018]",0.75,,,
400365,"Rep. James Sensenbrenner Jr. [R, 2003-2020]",0.25,0.6666666666666666,0.4,0.0
400367,"Rep. Pete Sessions [R, 2003-2018]",0.75,1.0,0.8,
400373,"Rep. John Shimkus [R, 2013-2020]",0.75,0.6666666666666666,0.8,0.0
400376,"Rep. Michael “Mike” Simpson [R, 1999-2022]",0.75,0.6666666666666666,0.6,0.0
400380,"Rep. Christopher “Chris” Smith [R, 1981-2022]",0.5,0.6666666666666666,0.8,0.0
400381,"Rep. Lamar Smith [R, 1987-2018]",0.5,0.6666666666666666,0.8,
400400,"Rep. Lee Terry [R, 1999-2014]",0.75,,,
