House Vote #349 2014-06-24T14:40:00 - H.R. 4413 (113th): Customer Protection and End User Relief Act
person,state,district,vote,name,party
400233,CT,1,No,"Rep. John Larson [D, 1999-2022]",Democrat
400234,IA,3,Aye,"Rep. Tom Latham [R, 2013-2014]",Republican
400237,CA,13,No,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400238,MI,9,No,"Rep. Sander Levin [D, 2013-2018]",Democrat
400240,GA,5,No,"Rep. John Lewis [D, 1987-2020]",Democrat
400244,NJ,2,Aye,"Rep. Frank LoBiondo [R, 1995-2018]",Republican
400245,CA,19,No,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400246,NY,17,No,"Rep. Nita Lowey [D, 2013-2020]",Democrat
400247,OK,3,Aye,"Rep. Frank Lucas [R, 2003-2022]",Republican
400249,MA,8,No,"Rep. Stephen Lynch [D, 2013-2022]",Democrat
400251,NY,12,No,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400255,UT,4,Aye,"Rep. Jim Matheson [D, 2013-2014]",Democrat
400257,NY,4,Not Voting,"Rep. Carolyn McCarthy [D, 1997-2014]",Democrat
400259,MN,4,No,"Rep. Betty McCollum [D, 2001-2022]",Democrat
400262,WA,7,No,"Rep. Jim McDermott [D, 1989-2016]",Democrat
400263,MA,2,No,"Rep. James “Jim” McGovern [D, 2013-2022]",Democrat
400266,NC,7,Aye,"Rep. Mike McIntyre [D, 1997-2014]",Democrat
400267,CA,25,Aye,"Rep. Howard “Buck” McKeon [R, 1993-2014]",Republican
400271,NY,5,Not Voting,"Rep. Gregory Meeks [D, 2013-2022]",Democrat
400273,FL,7,Aye,"Rep. John Mica [R, 1993-2016]",Republican
400274,ME,2,No,"Rep. Michael Michaud [D, 2003-2014]",Democrat
400276,MI,10,Aye,"Rep. Candice Miller [R, 2003-2016]",Republican
400277,CA,31,Not Voting,"Rep. Gary Miller [R, 2013-2014]",Republican
400278,CA,11,No,"Rep. George Miller [D, 2013-2014]",Democrat
400279,FL,1,Aye,"Rep. Jeff Miller [R, 2001-2016]",Republican
400283,VA,8,No,"Rep. James “Jim” Moran Jr. [D, 1991-2014]",Democrat
400285,PA,18,Aye,"Rep. Tim Murphy [R, 2003-2017]",Republican
400289,NY,10,No,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,CA,32,No,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,MA,1,No,"Rep. Richard Neal [D, 2013-2022]",Democrat
400297,CA,22,Aye,"Rep. Devin Nunes [R, 2013-2022]",Republican
400308,NJ,6,No,"Rep. Frank Pallone Jr. [D, 1993-2022]",Democrat
400309,NJ,9,No,"Rep. Bill Pascrell Jr. [D, 2013-2022]",Democrat
400310,AZ,7,No,"Rep. Ed Pastor [D, 2013-2014]",Democrat
400313,NM,2,Aye,"Rep. Stevan “Steve” Pearce [R, 2011-2018]",Republican
400314,CA,12,No,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat
400316,MN,7,Aye,"Rep. Collin Peterson [D, 1991-2020]",Democrat
400318,WI,6,Aye,"Rep. Thomas “Tom” Petri [R, 1979-2014]",Republican
400320,PA,16,Aye,"Rep. Joseph Pitts [R, 1997-2016]",Republican
400326,NC,4,No,"Rep. David Price [D, 1997-2022]",Democrat
400331,WV,3,Aye,"Rep. Nick Rahall II [D, 1993-2014]",Democrat
400333,NY,13,Not Voting,"Rep. Charles “Charlie” Rangel [D, 2013-2016]",Democrat
400340,KY,5,Aye,"Rep. Harold “Hal” Rogers [R, 1981-2022]",Republican
400341,AL,3,Aye,"Rep. Mike Rogers [R, 2003-2022]",Republican
400342,MI,8,Aye,"Rep. Mike Rogers [R, 2001-2014]",Republican
400343,CA,48,Aye,"Rep. Dana Rohrabacher [R, 2013-2018]",Republican
400344,FL,27,Aye,"Rep. Ileana Ros-Lehtinen [R, 2013-2018]",Republican
400347,CA,40,No,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400348,CA,39,Aye,"Rep. Edward “Ed” Royce [R, 2013-2018]",Republican
400349,MD,2,Aye,"Rep. A. Dutch Ruppersberger [D, 2003-2022]",Democrat
400350,IL,1,Not Voting,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400351,WI,1,Aye,"Rep. Paul Ryan [R, 1999-2018]",Republican
400352,OH,13,No,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,CA,38,No,"Rep. Linda Sánchez [D, 2013-2022]",Democrat
400356,CA,46,No,"Rep. Loretta Sanchez [D, 2013-2016]",Democrat
400360,IL,9,No,"Rep. Janice “Jan” Schakowsky [D, 1999-2022]",Democrat
400361,CA,28,No,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,GA,13,Aye,"Rep. David Scott [D, 2003-2022]",Democrat
400364,VA,3,No,"Rep. Robert “Bobby” Scott [D, 1993-2022]",Democrat
400365,WI,5,Aye,"Rep. James Sensenbrenner Jr. [R, 2003-2020]",Republican
400366,NY,15,Not Voting,"Rep. José Serrano [D, 2013-2020]",Democrat
400367,TX,32,Aye,"Rep. Pete Sessions [R, 2003-2018]",Republican
400371,CA,30,No,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400373,IL,15,Aye,"Rep. John Shimkus [R, 2013-2020]",Republican
400376,ID,2,Aye,"Rep. Michael “Mike” Simpson [R, 1999-2022]",Republican
400378,NY,25,No,"Rep. Louise Slaughter [D, 2013-2018]",Democrat
400379,WA,9,Not Voting,"Rep. Adam Smith [D, 1997-2022]",Democrat
400380,NJ,4,Aye,"Rep. Christopher “Chris” Smith [R, 1981-2022]",Republican
400381,TX,21,Aye,"Rep. Lamar Smith [R, 1987-2018]",Republican
400400,NE,2,Not Voting,"Rep. Lee Terry [R, 1999-2014]",Republican
400402,MS,2,No,"Rep. Bennie Thompson [D, 1993-2022]",Democrat
400403,CA,5,No,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,TX,13,Aye,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400406,OH,12,Aye,"Rep. Patrick “Pat” Tiberi [R, 2001-2018]",Republican
400407,MA,6,No,"Rep. John Tierney [D, 1997-2014]",Democrat
400411,OH,10,Aye,"Rep. Michael Turner [R, 2013-2022]",Republican
400414,MI,6,Aye,"Rep. Fred Upton [R, 1993-2022]",Republican
400415,MD,8,No,"Rep. Chris Van Hollen [D, 2003-2016]",Democrat
400416,NY,7,Not Voting,"Rep. Nydia Velázquez [D, 2013-2022]",Democrat
400417,IN,1,No,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,Aye,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,No,"Rep. Maxine Waters [D, 2013-2022]",Democrat
400425,CA,33,No,"Rep. Henry Waxman [D, 2013-2014]",Democrat
400431,KY,1,Aye,"Rep. Ed Whitfield [R, 1995-2016]",Republican
400433,SC,2,Aye,"Rep. Joe Wilson [R, 2001-2022]",Republican
400435,VA,10,Aye,"Rep. Frank Wolf [R, 1981-2014]",Republican
400440,AK,0,Aye,"Rep. Don Young [R, 1973-2022]",Republican
400441,TX,19,Aye,"Rep. Randy Neugebauer [R, 2003-2016]",Republican
400606,AZ,5,Aye,"Rep. Matt Salmon [R, 2013-2016]",Republican
400607,SC,1,Aye,"Rep. Marshall “Mark” Sanford [R, 2013-2018]",Republican
400616,NC,1,Aye,"Rep. George “G.K.” Butterfield Jr. [D, 2004-2022]",Democrat
400618,CA,16,Aye,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,No,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400626,GA,6,Aye,"Rep. Tom Price [R, 2005-2017]",Republican
400627,GA,3,Aye,"Rep. Lynn Westmoreland [R, 2007-2016]",Republican
400628,GA,12,Aye,"Rep. John Barrow [D, 2005-2014]",Democrat
400630,IL,3,Aye,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400636,LA,3,Aye,"Rep. Charles Boustany Jr. [R, 2013-2016]",Republican
400639,MO,5,No,"Rep. Emanuel Cleaver II [D, 2005-2022]",Democrat
400640,NE,1,Aye,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,No,"Rep. Brian Higgins [D, 2013-2022]",Democrat
400643,NC,5,Aye,"Rep. Virginia Foxx [R, 2005-2022]",Republican
400644,NC,10,Aye,"Rep. Patrick McHenry [R, 2005-2022]",Republican
400646,PA,8,Not Voting,"Rep. Michael Fitzpatrick [R, 2011-2016]",Republican
400647,PA,13,No,"Rep. Allyson Schwartz [D, 2005-2014]",Democrat
400648,PA,15,Aye,"Rep. Charles Dent [R, 2005-2018]",Republican
400651,TX,1,Aye,"Rep. Louie Gohmert Jr. [R, 2005-2022]",Republican
400652,TX,2,Aye,"Rep. Ted Poe [R, 2005-2018]",Republican
400653,TX,9,No,"Rep. Al Green [D, 2005-2022]",Democrat
400654,TX,10,Aye,"Rep. Michael McCaul [R, 2005-2022]",Republican
400655,TX,11,Aye,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,Aye,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,Aye,"Rep. Henry Cuellar [D, 2005-2022]",Democrat
400659,WA,5,Aye,"Rep. Cathy Rodgers [R, 2005-2022]",Republican
400660,WA,8,Aye,"Rep. David Reichert [R, 2005-2018]",Republican
400661,WI,4,No,"Rep. Gwen Moore [D, 2005-2022]",Democrat
400663,CA,6,No,"Rep. Doris Matsui [D, 2013-2022]",Democrat
408211,MN,8,Aye,"Rep. Richard Nolan [D, 2013-2018]",Democrat
409888,PA,9,Aye,"Rep. Bill Shuster [R, 2001-2018]",Republican
410396,TX,36,Aye,"Rep. Steve Stockman [R, 2013-2014]",Republican
412011,CA,45,Not Voting,"Rep. John Campbell III [R, 2013-2014]",Republican
412186,NJ,8,No,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,No,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
